Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
DROPKICK MARKETING LTD;KY7 6AL;73110;73110
Jag Media;KY3 9AP;70229;73110
Proof of Fife;KY1 2XA;73110;73110
EVENTSFORBUSINESS LIMITED;KY12 9JH;73120;73120
BAY PRINTING LTD;KY11 9JN;18129;73110
VERB DIGITAL LTD;KY3 0SR;73110;73110
INTEGRIS COMMUNICATIONS LIMITED;KY12 8XX;73120;73120
SOURCING BOX LIMITED;KY11 8PB;73110;73110
AD MULTIPLY LTD;KY6 2HZ;73120;73120
JUMP MARKETING SERVICES LTD;KY12 7QL;73110;73110
PAGENORTH LIMITED;KY7 4NS;73110;73110
SIMPLICITY MARKETING SCOTLAND LTD;KY12 7NS;73110;73110
TANZANITE CONSULTANCY LIMITED;KY6 3BS;70229,7311;70229
OLLIE HOOPER LTD;KY12 0XZ;74100;73110
MANTA MARKETING LTD;KY62TB;63990,7311;58120
MOSTLY MEDIA (NORTH) LIMITED;KY11 9PF;73110;73110
KENSPECKLE MARKETING LTD;KY12 8AL;73120, 74100;73110
D.B.ALLAN MEDIA LTD;KY7 4SB;73110;73110
MACERI LTD;KY1 1RB;81210;73110
OR DIGITAL LTD;KY4 9SE;74202;73110
JOHNSTON MARKETING SOLUTIONS LTD;KY11 8FH;73110;73110
WELLBEING MEDIA LTD;KY1 3NB;73120;60100
CITY MEET SKY LIMITED;KY2 6YE;73110;73110
SIMPLY SOCIAL SCOTLAND LTD;KY11 2AZ;73110;73110
SHONA DRUMMOND MARKETING LTD;KY12 7QY;73110;73110
ECOM EXPAND LTD;KY6 2QB;73110;73110
PROACTIVE MARKETING PROJECTS LTD;KY12 7RS;73200;73110
GINGER MAN WITH A CAM LTD;KY11 2EZ;73110;73110
