Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
INQUISITIVE MIND LIMITED;KY11 9JW;58110;47910
Jay 3 Video Productions;KY6 3JX;59111;59111
Zoghogg;KY12 7DL;59111;59111
Kino Cinema;KY7 5ND;59140;59140
Glass Bullet Media;KY6 2SS;59112;59112
Gastronomic Agency;KY2 6XR;59112;70229
Rennie Digital Productions;KY2 5UD;59111;59111
G H S Media;KY1 1SX;96090;59112
GLASS BULLET PRODUCTIONS LIMITED;KY6 2SS;59120;59111
AIR REEL MEDIA LTD;KY11 8JJ;59112;59112
CHILLI PIPERS PRODUCTIONS LIMITED;KY1 3PS;59112;59112
PIXEL RIDDIMS LTD;KY12 0RE;59111;59111
COSPLAYER WORLD LTD;KY11 4RR;47910;47890
LOCH FIFE LTD;KY1 2LT;58110;47910
AIRVIEW LTD;KY11 4PJ;74202;59112
PATHHEAD STUDIOS LTD;KY1 2AG;59111;59111
TIRRICK ANIMATION LIMITED;KY12 0PW;59113;59111
IM PRODUCTION UK (GROUP) LIMITED;KY11 9JW;66190;59111
ENERGY WORKS LIMITED;KY11 2AG;59200;59112
MMCM MEDIA LTD;KY11 8GY;59111;59111
AOTROM FILMS LTD;KY1 1JH;59112;59111
THE APRIL FRAMES LTD;KY12 0DG;59132;59112
SKY INSPIRED LIMITED;KY39RE;59112;59112
DREAM MODELS LTD;KY4 9JB;78101;59112
HEX ARCANA PUBLISHING LTD;KY1 2AG;59131;58110
