Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
TELE-SUMS LTD.;KY11 9LT;58110;62090
IWIN (SCOTLAND) LIMITED;KY11 3BZ;62011;62011
GOBLINSAMA LIMITED;KY11 9PF;58210;58210
WANDERING WIZARDS LTD;KY12 7NZ;62011;58210
TWILIGHT SPRING LTD;KY2 6BY;62012;62011
LAPWING INTERACTIVE LIMITED;KY11 8LS;62011;62011
SPECTRUM APPS LIMITED;KY12 7QY;62011;62011
BECCASBINARIES LTD;KY5 0YQ;58290;58210
REACTION THEORY ENTERTAINMENT LTD;KY11 2NW;58210;58210
CLOUD COLONY GAMES LTD;KY12 7YD;62011;58210
VIRTUAL COMMUNITY KITCHEN LIMITED;KY3 9RN;47910;46170
PIXEL BRIDGE STUDIO LTD;KY12 7EW;96090;62011
GAME GAFF LTD;KY4 9JB;46510;26200
GO ESCAPE DIGITAL LIMITED;KY11 8NB;62011;62011
