Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
SKY IN-HOME SERVICE LIMITED;TW7 5QD;59113;59113
SKY LIMITED;TW7 5QD;59133;60200
OLD SCHOOL ENTERPRISES LIMITED;KY12 7DT;60200;60200
GLASS BULLET PRODUCTIONS LIMITED;KY6 2SS;59112;59111
K-TOWN FM LTD;KY5 0XU;60100;60100
TARTAN MOOSE MEDIA LTD;KY11 9PF;59113;59113
TIRRICK ANIMATION LIMITED;KY12 0PW;59113;59111
WELLBEING MEDIA LTD;KY1 3NB;73120;60100
WELLBEING RADIO LTD;KY1 3NB;60100;60100
AOTROM FILMS LTD;KY1 1JH;59112;59111
AVS IMAGE DESIGNS LTD;KY4 9JB;60200;59200
