Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
JACK VETTRIANO PUBLISHING LIMITED;KY7 5NA;58190;58190
DOBBIE HALL TRUST;FK5 4BL;88990;90030
THE YOUTH MUSIC THEATRE COMPANY SCOTLAND;KY2 6HD;90030;90030
JJVISUAL LIMITED;KY11 4PJ;63120;43320
INQUISITIVE MIND LIMITED;KY11 9JW;58110;47910
DOODLE & SPLAT LTD;KY11 8HA;90030;90030
LATERAL LAB LTD;KY3 9ST;90030;90030
SALON SERVICES LIMITED;SE1 3QG;18130;18130
Central Fife Times & Advertiser;KY5 9QQ;58130;58130
Different Glass;KY4 9LE;90030;90030
The Dolphin Press;KY6 2RU;18121;18129
H T Screenprint;KY11 9JH;13990;18129
Lochgelly Brass Band;KY5 9DD;90030;90030
Mad Design & Print;;18129;18129
Panache Print;KY12 8DQ;18129;47620
Panda Print;KY11 2JL;18129;18129
Sportprint Printers;KY7 5DW;47190;18129
Torleys Bar;KY5 9JP;90030;56302
Trojan Press Print;KY6 3AE;18129;18129
Feather Finesse;KY12 7TR;90030;90030
Music Management;;93290;90030
Fife Herald;KY15 4AB;58130;58130
Spotlight Publications;KY11 9GX;58110;58110
Rel8 Media;KY4 8HG;58110;58110
Checos Face Painting;KY11 3DJ;93290;90030
Extant Exhibitions;KY6 2RU;18129;82990
Abracadabra Acts & Theme Parties;KY3 0XP;90030;90030
Lochgelly Library;KY5 9RD;58130;91011
Bill Leslie Screenprint;KY1 3PB;18129;18129
J R Mitchell Monumental Sculptor;KY1 2AY;23700;90030
Jolly Jigglers;KY6 3HJ;90030;90030
Imagin;KY1 3LW;58190;58190
Scotia Pipers;KY2 6DZ;90030;90030
World of Parties;KY1 3PE;90030;96090
Aval - Ballan;KY7 6NR;90030;90030
Bbndj;KY5 0BX;18129;18129
Color Print & Design;KY1 3NF;82990;18129
Keepitclean;KY11 8ZB;47710;58130
Mick Magic;KY11 8HX;47910;90030
Dunfermline Junior Chorus;KY11 8LG;90030;90030
PANDA LITHO LIMITED;KY11 2JL;17230;17230
FLYING COLOURS (ENTERPRISES) LIMITED;KY6 2RU;90030;90030
TELE-SUMS LTD.;KY11 9LT;58110;62090
CALEDONIA SIGNS LIMITED;KY1 3NH;18129;18129
JOHNSTON SYSTEMS LIMITED;KY4 9HB;90030;62012
PREMIER ENGRAVING AND SIGNS (SCOTLAND) LIMITED;KY6 2RZ;18129;18129
KENWIL LTD.;KY11 2EU;18129;18129
AVANTI GRAPHIC DESIGN LTD.;KY12 0DQ;58190;58190
TAXCAFE UK LIMITED;KY1 1TL;58110;58110
KINGSTON AMBROSE ASSOCIATES LTD.;KY12 8LP;72190;58110
CDMI LTD;KY11 2WX;58190;58190
THE SIGN COMPANY (SCOTLAND) LTD;KY2 5DH;18129;18129
EAST COAST GRAPHICS UK LIMITED;KY11 8UU;18129;18129
MULTIPRINT (SCOTLAND) LIMITED;KY1 1SR;18129;18129
BAY PRINTING LTD;KY11 9JN;18129;73110
CARMAN ONLINE CONTENT PUBLISHING LIMITED;KY5 0YY;58190;58190
TAXING WORDS LTD;KY12 8TE;58110;90030
DELTA-V CONSULTANCY LIMITED;KY11 8JS;70229;70229
THE PRINT HOUSE FIFE LIMITED;KY7 5DW;18129;18129
