Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
FIFE CULTURAL TRUST;KY2 6NA;91011;90010
FIFE CULTURAL SERVICES TRADING LIMITED;KY2 6NA;91012;91011
KINGHORN LIBRARY RENEWED;KY3 9SS;91011;88990
Cadham Library;KY7 6RA;91011;91011
Oakley Branch Library;KY12 9RJ;91011;91011
Templehall Library;KY2 6EX;91011;91011
Kirkcaldy Library;KY1 2YY;91011;91011
Dunfermline Carnegie Library & Galleries;KY12 7NL;90040;91011
Rosyth Library;KY11 2JW;91011;91011
Duloch Library;KY11 8LW;91011;91011
Cowdenbeath Library;KY4 9QA;91011;91011
Rothes Halls Library;KY7 5NX;88990;91011
Burntisland Library;KY3 9AS;91011;91011
Fife Schools Library Service;KY5 0NE;91011;91011
Dalgety Bay Library;KY11 9UY;91011;91011
Oakley Library;KY12 9RJ;91011;91011
Leslie Library;KY6 3AX;91011;91011
Lochgelly Library;KY5 9RD;58130;91011
Kirkcaldy Galleries;KY1 1YG;90040;91011
Cardenden Library;KY5 0EL;91011;91011
Kirkcaldy Museum & Art Gallery;KY1 1YG;90040;90040
THE FIFE VINTAGE AGRICULTURAL MACHINERY CLUB;KY15 5RP;91012;91012
