Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
SINGULA DECISIONS LIMITED;KY2 6QJ;62020;82200
BITWISE LIMITED;KY11 8GR;62020;62020
NO BUBBLES LTD;KY12 8TF;62020;62020
CUKOO LTD;KY7 6DA;68209;62020
AWG CONSULTANTS LIMITED;KY12 0DL;62020;62020
PHOENIX SCOTIA LIMITED;KY4 9PA;62020;62020
FOCUSED ON LEARNING LTD;KY7 4SX;70229;62020
RVM DYNAMICS LTD.;KY11 9GY;62020;62020
IDEAL COMPUTERS LIMITED;OL11 4NY;62020;62020
Payne Associates;KY2 5QJ;62012;62012
Managed I T Experts;KY11 3BZ;62090;62020
M I S Ecosse;KY11 9YU;62090;62020
MCONOMY COMPUTERS LIMITED;KY3 0AQ;62020;62020
FIDRA TECHNOLOGY LIMITED;KY11 9YT;62020;62020
LYNDEAN SOFTWARE LIMITED;KY11 9JE;62020;62020
N I M S LIMITED;KY11 9JP;62020;62020
INFOPLEX LTD.;ML3 6JT;62012;62012
VIRTUAL INFORMATION SYSTEMS LIMITED;KY11 8UU;62020;62020
TCM SOLUTIONS LIMITED;KY6 2AG;62020;62020
OLECOM LIMITED;KY3 9TA;62020;62020
JOHNSTON SYSTEMS LIMITED;KY4 9HB;90030;62012
BIG HOUSE CONSULTING LIMITED;KY12 9TR;96090;62020
INTEGRATED BUSINESS MANAGEMENT LIMITED;KY11 9XQ;62012;62012
CAMEO CONTRACTING LIMITED;KY3 0XJ;62020;62020
BEATON ROSS CONSULTANTS LIMITED;EH5 2PU;62020;62020
RED SOFTWARE LIMITED;KY11 8TT;62012;62012
GTB SYSTEMS LIMITED;KY11 8GL;62012;62012
CADSCOT LIMITED;KY2 5QS;62012;62012
CAIRN ACTIVE DESIGN LIMITED;KY11 8UU;62020;62020
SUPPLY DESIGN LIMITED;KY12 7HU;62020;72190
THE OUTCOMES PARTNERSHIP LIMITED;KY11 2EU;62020;62020
ANVIL COMPUTER SERVICES LIMITED;KY11 9PF;62020;62020
J7 (MIS) LIMITED;KY13 8TN;62020;62020
TESSERA SOLUTIONS LIMITED;KY12 7HY;62020;62020
DILITECH LTD;KY3 0SS;62012;62020
TECNICA LIMITED;KY11 8PB;62020;62020
ORGANISATIONAL REFLECTIONS LIMITED;KY12 9TS;62012;70229
FORTHBAY COMMERCE LIMITED;KY11 9PF;62020;70229
CAMPELLO CONSULTANTS LIMITED;KY7 5NA;62020;62020
GRD MANAGEMENT CONSULTANCY LTD.;KY11 4LB;62020;62020
INTEGRITY DATA SYSTEMS LTD.;KY12 7XL;62020;62020
MANY MARKETS SYSTEMS LTD.;KY11 2EU;62020;62020
BELIEVEIT LIMITED;KY12 8LE;62012;62012
ARTILIUM UK LTD;EH14 1HZ;61200;61200
BLUEBOX AVIATION SYSTEMS LIMITED;KY11 8US;62012;62012
ICT ADVISOR LIMITED;KY6 3QR;62020;62020
LOMOND HILLS IT SERVICES LIMITED;KY6 3PT;62020;62020
COOPER SOFTWARE LTD;KY11 9NB;62012;62012
RELCHRON LIMITED;KY1 3PF;47910;82990
JUMPING BEAN TRAINING LTD;EH2 3JG;62020;62020
HAINING SOFTWARE LIMITED;KY11 8HX;62020;62020
IT WORKS (SCOTLAND) LIMITED;KY11 8QF;62020;62020
LOCHNET BUSINESS SERVICES LIMITED;KY11 8GE;62020;62020
PERINTON LIMITED;KY11 9LZ;62020;62020
ANDERSON LAWRENCE LIMITED;KY2 6XE;62020;62020
MHADDOG IT LIMITED;KY11 9YE;62020;62020
LEAPING SALMON LIMITED;KY12 7QP;62020;62020
JLGP LIMITED;KY6 2SS;62020;62020
450 SOLUTIONS LIMITED;KY11 4BG;70221;62020
SOFT SCIENCE LTD.;KY2 5RB;62020;62020
AGOO IT SOLUTIONS LIMITED;KY1 3NB;62020;62020
CODE COMPLETE (SCOTLAND) LIMITED;KY3 9XH;62020;62020
IDH CONSULTANT LIMITED;KY11 9LH;62020;62020
INSIDE & OUT DIGITAL LTD.;KY3 0BU;62020;62020
MACKINNON CONSULTING LIMITED;KY11 3AH;62020;62020
JKZ ISERIES CONSULTANCY LIMITED;KY12 0SS;62020;62020
SOLUTIONS DEVELOPED LIMITED;KY1 4AF;62020;62020
EPOINT EMBEDDED COMPUTING LIMITED;KY11 2DW;62012;62012
JUALS CONSULTANCY LTD;EH6 4RN;62020;62020
TECHCONSULTANT LTD;KY1 1GJ;82990;62020
SELTAEB CONSULTANCY SERVICES LTD;KY1 1DJ;62020;62020
FLORIZEL MEDIA LIMITED;KY11 8JX;62020;62020
MANAGED IT EXPERTS LTD;KY11 3BZ;62012;62020
HERE4HOSTING LIMITED;KY11 9PF;62020;62020
BLUES POINT TECHNOLOGY LIMITED;KY6 1JF;62020;62020
STENHOUSE TECHNOLOGIES LIMITED;KY11 8TT;62012;62020
LLD IT LIMITED;KY12 9FJ;62020;62020
IVACS LTD;KY11 9PF;62020;62020
PRO-IT ADVICE LTD.;KY11 2EU;62020;62020
L5 SYSTEMS LIMITED;KY6 3QP;62020;62020
JLAW CONSULTANCY LIMITED;KY12 9LJ;62020;62020
AR SOLUTION LTD;KY11 9XR;62020;62020
CEDARSOFT LTD;KY12 8YB;62020;62020
TAKE2 CREATIVE LIMITED;KY11 8HX;62020;62020
CODA CONSULTANCY LIMITED;KY12 9YJ;62012;62012
LRF SOFTWARE (SCOTLAND) LIMITED;KY12 7HU;62012;62012
GOLD TECHNOLOGIES LTD.;KY11 3ES;62020;62020
LEAH STAFFORD LIMITED;KY12 0EP;62020;62020
14TH PRECINCT LIMITED;KY11 4XP;62020;62020
J TONNER TECHNOLOGY SERVICES LIMITED;KY12 8DW;62020;62020
PRIMORITY LTD;KY1 1JS;62012;62012
ITGT LTD;KY3 9YT;62020;62020
CAL CONTRACTOR SERVICES LTD;KY11 2RW;62012;62012
EXOROC LTD;KY12 0WN;62020;62020
AKILA CONSULTING LIMITED;KY11 9FL;62020;62020
B2A CONSULTING LTD;KY11 9GE;62020;62020
POOLEY CONSULTANCY LIMITED;KY12 7YF;62020;62020
RV CONTRACTING LTD;KY11 8JL;62012;62012
LHV & JRMV CONSULTANCY LTD;KY11 2ZL;62020;62020
DAYZ R LTD;KY11 8LA;62020;62020
AABR CONSULTING LTD;KY11 8JA;62020;62020
SAE CONSULTING SERVICES LIMITED;KY11 8HB;62020;62020
JACKSON SOFTWARE DESIGN LTD;KY2 6ZR;62012;62012
PROJECT OJ.COM LTD;KY12 7XZ;62012;62012
BUSINESS AGILITY 365 LIMITED;KY11 9LZ;62020;62020
ATVANTAGE LIMITED;KY11 8ZF;2400;2400
BYTEFIRE CONSULTING LIMITED;KY11 9GY;62020;62020
MCANDIE LTD.;KY3 0RS;62020;62020
A.S. ANALYTICS LTD;KY12 8BF;62020;62020
HODRUM LIMITED;KY11 9PF;62020;62020
LEAN GREEN TRAINING MACHINE LIMITED;KY11 9NR;62020;62020
MW TESTING SERVICES LIMITED;KY3 0BX;62020;62020
ZLATARSOUL LIMITED;KY11 9PF;62020;62020
SEESAW RESOURCING LIMITED;KY11 9LY;62020;62020
UCC CONSULTANTS LIMITED;KY7 6DT;62020;62020
SAGRES UK LIMITED;KY11 8SL;62020;62020
INFRASOL DESIGN LIMITED;KY3 0JE;62020;62020
APPLICATION SUPPORT & TESTING LTD;KY12 0XH;62020;62020
IGEENET LTD;KY1 1SD;47190;47910
QUORUM QUALITY & RISK MANAGEMENT LTD;KY11 9PF;62012;62012
GEMMA SOMERVILLE LTD;KY11 8PX;62020;62020
GHERKIN SOFTWARE LIMITED;KY11 2TW;62020;62020
ICECREAMSOOP DIGITAL LIMITED;KY4 9AU;62020;62020
SCOVEN LIMITED;KY12 0UP;62020;62020
NOVERIA LTD;KY2 6ZS;62012;62012
DATA FOCUS LTD;KY12 8AB;62012;62090
GX CONSULTANCY LTD;KY7 4NS;62020;62020
COSMOLOGIC SOFTWARE LIMITED;KY11 9FW;62020;62020
WALLACE IT SERVICES LIMITED;KY5 0XZ;62020;62020
COMPLETE WEB SOLUTIONS LTD;KY1 1XF;62020;62020
GS TECH CONSULTING LIMITED;KY11 8GE;62020;62020
ARROWFIN LIMITED;KY11 9GP;62020;62020
QMG CONSULTANTS LTD;KY12 0RD;62020;62020
TETE EWAN SOFTWARE LIMITED;KY11 9DD;62020;62020
BEEZAPPS PRODUCTS LTD;KY12 7AG;62012;62012
ITASC LTD;KY2 6GE;62020;62020
SYNESTHETIC LTD;KY11 8LE;62020;62020
MAGUS CONSULTANCY LIMITED;KY11 2DF;62020;62020
2AM CREATIONS LIMITED;KY1 2HJ;62012;62012
SL BUSINESS SOLUTIONS LIMITED;KY7 5NA;62012;62012
NALLA IT LIMITED;KY11 8TX;62020;62020
SMYK BUSINESS SOLUTIONS LTD.;KY2 6LF;62020;62020
MATALSO LTD;KY12 7UU;62020;62020
GOSHEN CONSULT LTD;KY11 8LF;62020;62020
MARLIN SYSTEMS LIMITED;KY11 8PB;62020;62020
TORBRECK SERVICES LIMITED;KY11 8TD;62020;62020
CALDERHEAD'S CONSULTING EMPORIUM LIMITED;KY6 3FB;62020;62020
STEVEN GRAHAM CONSULTANCY LIMITED;KY11 9FL;62020;62020
HMC IMPROVEMENT CONSULTANCY LTD;KY1 4AY;62020;62020
S D TESTING CONSULTANTS LTD;KY11 8HU;62020;62020
DATAWATT LIMITED;KY11 8QD;62020;62020
MACATTO LIMITED;KY12 9TQ;61100;61100
FIFE TECHNICAL SPECIALISTS LTD;KY12 9NT;59200;59200
MACSPEC CONSULTING SERVICES LTD;KY12 8HL;62020;62020
KMB TESTING SERVICES LTD;KY11 8FY;62020;62020
BACKBEAT TECHNOLOGIES LIMITED;KY11 4YZ;62012;62012
DOVCON55 ENGINEERING SERVICES LIMITED;KY4 9ET;62020;62020
ANFATECH LTD;KY1 4DL;62020;62020
CARNBEE LTD;KY12 7XW;62020;62020
BUILT BY ECKO LTD;KY12 9AH;62012;62012
ROMAFI SYSTEMS LIMITED;KY3 0XJ;62020;62020
EFFECTIVE ARCHITECTURE SOLUTIONS LIMITED;KY11 2BP;62020;62020
PAVNOV LIMITED;KY11 2SJ;62020;62020
EWAN MACKIE LIMITED;KY7 6GZ;62020;62020
LOGRMM LIMITED;KY12 0LJ;62020;62020
DGT PS LIMITED;KY11 4PB;62012;62012
JCAPALDI LIMITED;KY1 2AJ;62020;62020
GRAHAM THOMSON CONSULTANCY SERVICES LTD;KY11 2BD;62020;62020
RUTSER LIMITED;KY11 8PB;62020;62020
D4MC CODE LTD;KY12 0LU;62020;62020
VIVIEN RIDEOUT LIMITED;KY6 2SS;62020;62020
NICK BROWNING LTD;KY1 1DT;62020;62020
LAKONIZEIN LTD;KY3 0SY;62020;62020
LIFE SPEC LIMITED;KY6 2TG;62020;62020
MXK SOLUTIONS LTD;KY11 8YY;62020;62020
DEVNULL INDUSTRIES LIMITED;KY3 9JP;62020;62020
VKSS LTD;KY12 8BU;62020;62020
RED PHOENIX BUSINESS SERVICES LIMITED;KY11 4RD;62020;62020
THE DEV COLLECTIVE LIMITED;KY5 9QB;62012;62012
NOTIFYME LIMITED;KY7 5NA;62012;62012
DIRECT SOFTWARE CONSULTING LTD;KY11 2EU;62020;62020
FIFE IT SERVICES LIMITED;KY6 1BE;62020;62020
AHF CONSULTANCY LIMITED;KY11 2AP;62020;62020
PIERRE4UK SYSTEMS LIMITED;KY4 8BJ;62020;62020
DUNDUFF ESTATES LIMITED;KY12 0SF;62020;62020
AJBASS IT LIMITED;KY2 6JE;62020;62020
DULOCH IT LTD;KY11 8JL;62020;62020
RC DIGITAL LTD;KY4 9LF;62020;62020
HOTEL IT SYSTEMS CONSULTANCY LTD;KY6 2LB;62012;62012
PROXYING ENTERPRISES LTD;KY7 6RB;62012;62012
ACMS SAPPHIRE SOLUTIONS LIMITED;KY3 0TX;62020;62020
SHREE TESTING SOLUTIONS LTD;KY11 8GZ;62020;62020
SEA STACK SOFTWARE LIMITED;KY12 0UX;62020;62020
AIRLIE SOLUTIONS LIMITED;KY12 7UR;62020;62020
WHEREVERLY LIMITED;KY1 1BH;62012;62012
GHJ CONSULTANTS LTD;KY12 9GQ;62020;62020
BLUEBOX SYSTEMS GROUP LIMITED;KY11 8US;62012;62012
FIRPARK CONSULTANCY LIMITED;KY12  8P;62020;62020
BITWIZARD LTD;KY11 8ER;62012;62012
