Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
A J Montgomery Associates;KY1 1ED;71111;71111
Architectural Services;KY12 9EG;71111;71111
Building Designs;KY11 2ST;71111;71111
Design 29 Architect;KY3 9DP;71111;71111
G D Young;KY12 7SN;71111;71111
Robin Clunie Architect;KY7 4PW;71111;71111
Stephen Newsom Architect;KY3 0TL;71111;71111
Fine Designs;KY12 7HZ;71111;71111
R T Hutton Planning Consultant;KY11 3HG;71112;71112
Hurd Rolland;KY12 7PD;71111;71111
Hurd Rolland Partnership;KY12 7PD;71111;71111
G Mees Architectural Technology;KY11 9UH;74909;71111
A D Associates - Ciat Registered Practice;KY7 6HS;71111;71111
Thomson Timber;KY7 6JX;47190;71111
Peter Lindow;KY3 9UJ;71111;71111
McLelland Architectural Design;KY7 5AW;43999;71111
Marwick Planning;KY12 8DP;71112;71112
C M 2 Design & Build;KY7 4NS;25110;71111
KEZPOINT LIMITED;KY11 8FA;71111;71111
DAVIDSON BAXTER PARTNERSHIP LIMITED;KY1 2BD;71111;71111
DAVID ADAMSON & PARTNERS LIMITED;EH1 2BW;74902;71111
AMEO CONSULTANTS LIMITED;KY1 1PF;71112;71112
JOHN GORDON ASSOCIATES LIMITED;KY12 9LE;71111;71111
MYLNE LTD;KY11 3HH;71111;71111
TMS PLANNING AND DEVELOPMENT SERVICES LIMITED;KY12 9NZ;71112;71112
D & H DESIGN LTD.;KY12 0JQ;71111;71111
BSW BUILDING SYSTEMS LTD;KY1 3NA;71111;71111
STUART KING ARCHITECTURE & DESIGN LTD.;KY11 8US;74909;71111
DAVE STEWART TECHNICAL LTD;KY12 9TR;71111;71111
ALLAN CORFIELD ARCHITECTS LIMITED;KY11 9JF;71111;71111
URBAHNSTUDIO LTD;KY2 6SZ;71111;71111
NEW GENERATION HOMES LIMITED;KY11 9NQ;43999, 68100,68209;71111
RUD SAWERS ARCHITECTS LIMITED;KY12 7DZ;71111;71111
DX2 CONSULTANCY LTD;KY7 6RR;71111;71111
IGLU STUDIO LTD;KY1 1PU;71112;71112
IDRAW PLANS LIMITED;KY11 2AP;71111;71111
MLG CONSTRUCTION MANAGEMENT LIMITED;KY6 2SJ;71111;71111
SIGNAL ARCHITECTS LIMITED;KY12 7NZ;71111;71111
WILLIAM CROWE LIMITED;KY11 9PF;71111;71111
SJP PIPING SERVICES LTD;KY12 0YX;71111;71111
FLOW DESIGN ARCHITECTURAL SERVICES LTD;KY11 8BE;71111;71111
ANDREW ALLAN ARCHITECTURE LTD;KY11 8PB;71111;71111
GRAY PLANNING & DEVELOPMENT LIMITED;KY11 2YW;71112;71112
BTR ALBA LTD;KY2 6RR;71111;71111
MA DESIGN AND BUILD LTD;KY8 5EE;71111;41202
CKMG-GROUP LIMITED;KY1 4BL;71111;71111
ZEST PLANNING AND DEVELOPMENT LTD;KY6 3QF;71112;41100
SK ARCHITECTURE (SCOTLAND) LIMITED;KY11 8US;71111;71111
AGORA ARCHITECTURE AND DESIGN LIMITED;KY7 5NA;71111;71111
NEW FORM ARCHITECTURE LTD;KY11 3EP;71111;71111
STEEL BUILDINGS INTERNATIONAL LTD;KY12 7PT;41201,43999,71111 ;25110
INNOVAE ARCHITECTURE AND CONSTRUCTION LTD;KY11 8JG;41202, 71111;41201
SMIJ LTD;KY4 9AF;71111;71111
D7 ARCHITECTURE LTD;KY2 5SR;71111;71111
FLOW ASSOCIATES ARCHITECTURE & DESIGN LTD;KY11 8BE;71111;71111
RESIN DRIVES ( SCOTLAND ) LTD;KY2 6LU;71112;71112
LTJ ARCHITECTURE LIMITED;KY11 8JA;71111;71111
