Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
MUSIC FOR ALL;RH12 1DQ;90030;90030
DOBBIE HALL TRUST;FK5 4BL;88990,9329;90030
THE YOUTH MUSIC THEATRE COMPANY SCOTLAND;KY2 6HD;90030;90030
JJVISUAL LIMITED;KY11 4PJ;90030,6312;43320
INQUISITIVE MIND LIMITED;KY11 9JW;58110,59111,90030;47910
DOODLE & SPLAT LTD;KY11 8HA;90030;90030
LATERAL LAB LTD;KY3 9ST;90030;90030
Different Glass;KY4 9LE;90030;90030
Lochgelly Brass Band;KY5 9DD;90030;90030
Torleys Bar;KY5 9JP;90030;56302
Feather Finesse;KY12 7TR;90030;90030
Music Management;;93290;90030
Checos Face Painting;KY11 3DJ;93290;90030
Abracadabra Acts & Theme Parties;KY3 0XP;90030;90030
J R Mitchell Monumental Sculptor;KY1 2AY;23700;90030
Jolly Jigglers;KY6 3HJ;90030;90030
Scotia Pipers;KY2 6DZ;90030;90030
World of Parties;KY1 3PE;90030;96090
Aval - Ballan;KY7 6NR;90030;90030
Mick Magic;KY11 8HX;90030;90030
Dunfermline Junior Chorus;KY11 8LG;90030;90030
ANDREW HUTT LIMITED;KY2 5NE;47781;47781
FLYING COLOURS (ENTERPRISES) LIMITED;KY6 2RU;90030;90030
JOHNSTON SYSTEMS LIMITED;KY4 9HB;90030;62012
THE FINE ART OF GOLF LIMITED;FK10 4AT;47781;47781
TAXING WORDS LTD;KY12 8TE;58110,58142,;90030
DELTA-V CONSULTANCY LIMITED;KY11 8JS;90030;70229
ROBERTSONS PICTURE GALLERY LIMITED;KY1 1HB;47781;47781
ROBERTSON FINE ART LIMITED;KY1 1HB;47781;47781
SPAGHETTI TATTOOS LTD;KY1 3WE;96090;90030
TOTIE WEE LTD;KY11 2EU;90030;90030
CARNEGIE MUSICAL LIMITED;KY11 8SY;90030;90030
LITTLE SHOP OF HEROES LIMITED;KY12 7NH;90030;90030
TUPIX LTD;KY12 7QL;90030;90030
SOMETHING DIFFERENT GIFTS LTD;KY4 9NF;90030;90030
EVENTRAIL LIMITED;KY7 5NA;62020,90010,90030;62012
GALLUS EVENTS LIMITED;KY11 8PB;90030;90030
THISTLE TURNINGS LTD;KY11 8HA;47910,9003;47890
NONESUCH METALS LIMITED;KY12 7DZ;90030;90030
MARK ROSCOE ART LIMITED;KY2 5NL;90030;90030
AARON ANDREWS LTD;KY6 2PY;90030;90030
ANDREWS ART LTD;KY12 8LQ;90030;90030
TINKABILITY CRAFTS LIMITED;KY5 9LP;90030;90030
THE URBAN DIARIES LIMITED;KY2 5AU;90030;90030
ADAM LINK LTD;KY12 7AG;90030;90030
INNOVATION & ARTS LTD;KY12 9SN;74202,81299,90030;70229
LUCE GREY LTD;KY12 7AG;90030;90030
FAT CAT PRODUCTIONS LIMITED;KY3 0EG;90020,9003;90010
CALUM MCCLURE EDITIONING LIMITED;KY12 7XF;90030;90030
THE FIFE FORGE COMPANY LTD;KY1 1PN;90030;90030
ASYLUM SOUND PRODUCTIONS LTD;KY1 2RN;90030,9499;59200
IDA RAMIC LTD;KY12 9FE;74100,9003;18129
BOWS AND BAUBLES LTD;KY11 9UR;90030;90030
