Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
SCOTT TIMBER LIMITED;KY11 8RY;16290;16290
COORSTEK LIMITED;KY6 2SB;28131;23490
DONALDSON TIMBER ENGINEERING LIMITED;KY6 2AG;16290;16290
Browns Upholsterers;KY5 8BJ;95240;95240
Antiques & Gifts;KY3 0SW;47190;47791
B R Paterson Goldsmiths;KY1 4AQ;32120;47770
Eloise Jewellery;KY1 1NQ;32120;47770
Fraser Interiors;KY1 2NJ;47510;95240
Jewellery Workshop;KY1 1EH;32120;32120
Matrix Fife;KY11 9JQ;95240;74100
Second Notions;KY1 4AQ;47791;47791
Andys Buy & Sell;KY2 5AN;47791;47799
Rearo;KY11 2RN;95240;46740
The Polishing Shop;KY7 4NS;95240;96090
Joint Design;KY7 4SX;31090;31090
Winsdor & Winsdor;KY1 3PE;95240;95240
The Secret Door;KY12 7NW;47791;47791
JAMES THOMSON & SON (UPHOLSTERERS) LIMITED;KY2 5HT;31090;31090
HALDANE (UK) LIMITED;KY7 6JF;16290;16290
D M DESIGN BEDROOMS LIMITED;G68 9HE;31090;31020
STH (NO 157) LIMITED;KY11 8RY;16290;16290
SR (123) LIMITED;KY11 8RY;16290;16290
LANG TOUN EXPORTS LTD.;KY1 4AQ;47791;47599
DYNAMIC WOODS - SCOTTISH WOOD LIMITED;KY12 8HB;16230,1629;16100
BECK & LINDSAY LTD.;DD7 7SA;16290;16290
ALCHEMIA STUDIO LIMITED;KY11 8PB;32120;47789
ECOLOGY CENTRE ENTERPRISE LTD;KY3 9YG;31090;31090
CRAIG ELDER PALLETS (GLASGOW) LTD.;KY6 2SY;16290;16290
ESSARRELLE LIMITED;KY11 8PB;31090;31090
TIMBER GARDEN BUILDINGS (SCOTLAND) LIMITED;KY6 2RE;16290;16290
STEWART UPHOLSTERERS LIMITED;KY4 8HW;31090;31090
TWO SKIES LTD;KY3 9YG;32120;32120
FULLY FITTED WARDROBES LIMITED;KY5 0AX;31090;31090
DEANESTOR SCOTLAND LIMITED;KY11 8GR;31090;31090
LMB KUCHEN LTD;KY11 2EP;31020,31090,43320;31010
LT MANUFACTURING LTD;KY6 2QA;16290;16290
EVERYTHING VINTAGE RETRO AND COLLECTIBLE LIMITED;KY3 9ER;47799,4791;47791
AK FRAMES LTD;KY12 0UA;16290;16290
SG DONALDSON SERVICES LTD;KY11 2EU;47791;47791
C STEWART UPHOLSTERY LTD;KY4 8DA;95240;95240
BMS GARDEN WOODWORKS LIMITED;KY6 1NB;31090;31090
RJD 23 LTD;KY11 9PF;95240;95240
THE FABBY FURNITURE COMPANY LIMITED;KY12 8UP;95240;46150
GALAXY WINDOW BLINDS LTD;KY12 0EW;16290;16290
RED DOOR ANTIQUES SCOTLAND LTD;KY11 3DX;47791;47791
