Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
A&E GUTERMANN (UK) LIMITED;KY12 7LG;46900;13100
CONDENSED CREATIVE LTD;KY11 8SX;82990;74100
H T Screenprint;KY11 9JH;13990;18129
Loraine Walker Couture;KY3 9UW;14132;14132
Jessop Jewellers;KY7 5NN;74100;47770
Matrix Fife;KY11 9JQ;95240;74100
Sewing Place;KY6 2RU;14132;96010
Elana Gray Bridal Dressmaking;KY11 9YZ;96090;14132
Fife Tshirt Printers;KY12 7EE;13990;13990
Forbo Flooring;KY1 2ER;13939;13939
Love Restored;KY15 7BZ;47190;74100
Mi Jewellery;KY4 8AT;74100;47910
The Pippin Theory;KY7 5DZ;74100;74100
Ryan & O'Donnell;KY7 4NS;15200;15200
PETER GREIG & COMPANY LIMITED;KY1 2BU;13200;13200
NAME-DROPPERS LIMITED;KY4 8LP;14190;14190
SHADOW BLINDS LIMITED;KY7 4NS;13990;13990
DUSAL LIMITED;KY6 2SD;13921;13921
DAVID GRAY DESIGN LTD;KY11 3HH;74100;74100
COSMIC DESIGN COMPANY LIMITED;KY12 7HY;74100;74100
P & T CONSULTING LIMITED;KY13 9YA;74909;74100
FORTH MARINE TEXTILES LIMITED;KY12 9DL;13990;13990
CADENERGY LTD.;KY11 3HN;74100;74100
CRIGHTON DESIGN CONSULTANTS LIMITED;KY12 8UU;74100;74100
HELIX CONSULTING ENGINEERS LTD.;KY12 9HP;74100;74100
ROXBURY DESIGN LTD.;KY11 2EU;74100;74100
MARKETRAISE LIMITED;KY6 2PJ;74100;74100
WJL CURTAINS & UPHOLSTERY LIMITED;KY14 7QA;13923;13923
NUVIU LIMITED;KY7 5NA;14190,47789,93290;47990
EPIPOLE LTD;KY11 9PF;74100;74100
ADVANCED VEHICLE WRAPS LTD;KY12 8LB;74100;74100
DIGITAL SOUL DESIGN LTD;KY7 6UZ;74100;74100
NAMISU LTD;KY1 3AJ;74100;74100
THE EAGER WEAVER LIMITED;KY5 9JR;13300;13300
TERMACK LIMITED;KY1 1NY;74100;74100
ARRO LIGHTING AND EVENTS LTD;KY1 3NA;74100;46180
MOUNTAIN ASH DESIGN LIMITED;KY12 7HY;74100;74100
SNTC LTD;KY7 6PG;13921;13921
COXSON DECORATORS LIMITED;KY2 6HR;74100;74100
A.V.S SCOTLAND LTD;KY1 4EH;74100;74100
MEJBAS LIMITED;KY1 1HX;74100;74100
INNOVONATION LTD;KY11 4BD;74100;74100
V EDUCATIONAL & TECHNICAL SERVICES LIMITED;KY11 4FD;74100;74100
GASTRONOMIC PR LIMITED;KY5 0DA;74100;74100
SEAHAWK APPAREL LIMITED;KY11 8RY;14120;14120
LIVINGSTONE & SONS LTD;KY5 9AF;14190;14190
STAR ELECTRICAL DESIGN LTD;KY2 6JL;74100;74100
XP CONSULTANTS LTD;EH5 1FS;74100;74100
CHAMPION ELECTRONICS DESIGN LIMITED;KY11 8GB;74100;74100
KALEIDOSCOPE STUDIOS LTD;KY11 9JN;74100;74100
DTR SOLUTIONS LIMITED;KY11 8RR;74100;74100
CHAY NICHOLSON DESIGN LIMITED;KY3 0TR;74100;74100
OLLIE HOOPER LTD;KY12 0XZ;74100;73110
BROGUES BROTHERS LTD;KY3 9XG;47190;15200
SERAGLIO LTD;KY12 7HX;47710;14142
KENSPECKLE MARKETING LTD;KY12 8AL;73120,741;73110
ELEV8 DIGITAL LIMITED;KY11 9XN;74100;74100
HARRISON DESIGN SERVICES LIMITED;KY11 9SP;74100;74100
RYAN STRACHAN STUDIO LIMITED;KY11 8NG;74100;74100
RAGIASABI LTD;KY1 3NB;13990;13990
PAMBER HEATHERLY LIMITED;KY11 9JN;13990;13990
PAMELA LANGRIDGE ASSOCIATES LIMITED;KY11 9JN;13990;13990
PAMBER GREENWOOD LIMITED;KY11 9JN;13923;13923
OLIVER CARRUTHERS ASSOCIATES LIMITED;KY11 9JN;13923;13923
PANBRIDE DONALDSON LIMITED;KY11 9JN;13990;13990
PANFIELD SERVICES LIMITED;KY11 9JN;13990;13990
PANFORD BECKTON LIMITED;KY11 9JN;13923;13923
PANHALL HOWLAND LIMITED;KY11 9JN;13990;13990
PANNIERS ROWLAND LIMITED;KY11 9JN;13923;13923
JEJU DESIGN LIMITED;KY11 8PB;14190;14190
VONDE LIMITED;KY11 8PB;14190;14190
A SUTHERLAND DESIGN LTD;KY11 9GY;74100;74100
PAMPERDALE MORSTON LIMITED;KY11 9JN;13990;13990
PANSON WOODCHURCH SERVICES LIMITED;KY11 9JN;13923;13923
PANSHIELD WESTERN ASSOCIATES LIMITED;KY11 9JN;13923;13923
PANSY DIAMOND DESIGNS LIMITED;KY11 9JN;13990;13990
PMB DESIGN BUILD LIMITED;KY2 5QL;81229;74100
PANTON AND COLLINS LIMITED;KY11 9JN;13923;13923
PAP PERSIMMONS ASSOCIATES LIMITED;KY11 9JN;13990;13990
PAP COPPICE LIMITED;KY11 9JN;13923;13923
PAP GORSE LIMITED;KY11 9JN;13990;13990
PARKER WILMORE LIMITED;KY11 9JN;13923;13923
PARAMOOR TOTTEN LIMITED;KY11 9JN;13990;13990
PARDLESTONE SERVICES LIMITED;KY11 9JN;13923;13923
PARDSHAW AND JONAS LIMITED;KY11 9JN;13990;13990
PARISH MEADOWS LIMITED;KY11 9JN;13990;13990
MASON & MILES LIMITED;KY11 8PZ;74100;74100
PARISHCROFT DESIGN SERVICES LIMITED;KY11 9JN;13923;13923
HALIAN POST SYSTEM LIMITED;KY11 8PB;74100;74100
JOHN YOUNG SIGNS LIMITED;KY11 8PB;74100;74100
PARKBURN BELLOWS LIMITED;KY11 9JN;13923;13923
PARKER VENTNOR LIMITED;KY11 9JN;13990;13990
PARKER CHANTILLEY LIMITED;KY11 9JN;13990;13990
WHITE BOX DESIGN LTD;KY11 9NQ;74100;74100
PARKERSTON FELLOWS LIMITED;KY11 9JN;13923;13923
PACKHAM HOLLINGSWORTH LIMITED;KY11 9JN;13923;13923
PARCHMOUNT DAWSON LIMITED;KY11 9JN;13990;13990
PARKHEAD COLLIER LIMITED;KY11 9JN;13923;13923
PARKHURST ASSOCIATE SERVICES LIMITED;KY11 9JN;13990;13990
