Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
CONDENSED CREATIVE LTD;KY11 8SX;82990;74100
Jessop Jewellers;KY7 5NN;47770;47770
Matrix Fife;KY11 9JQ;95240;74100
One Giant Leap;KY2 6JF;71121;82990
Lava Designs;KY11 9UX;71121;71121
Love Restored;KY15 7BZ;47190;74100
Carolinebydesign;KY11 8HD;71121;43999
Mi Jewellery;KY4 8AT;74100;47910
The Pippin Theory;KY7 5DZ;74100;74100
VARDA LIMITED;KY12 OQU;71121;71121
AJB DESIGN SERVICES LIMITED;KY1 3DH;71121;71121
DAVID GRAY DESIGN LTD;KY11 3HH;74100;74100
COSMIC DESIGN COMPANY LIMITED;KY12 7HY;74100;74100
P & T CONSULTING LIMITED;KY13 9YA;74909;74100
PACE PROFESSIONAL SERVICES LIMITED;KY11 9YE;71122,71121,74300;70229
CADENERGY LTD.;KY11 3HN;74100;74100
DP SYSTEMS (SCOTLAND) LIMITED;KY6 2PJ;71121,27120 ;26512
CRIGHTON DESIGN CONSULTANTS LIMITED;KY12 8UU;74100;74100
HELIX CONSULTING ENGINEERS LTD.;KY12 9HP;74100;74100
ROXBURY DESIGN LTD.;KY11 2EU;74100;74100
DP SERVICES (HOLDINGS) LIMITED;KY6 2PJ;43210;33200
ROWDON ONE LTD;KY1 1EN;71121;46140
MARKETRAISE LIMITED;KY6 2PJ;74100;74100
M-TEC DRAFTING (UK) LIMITED;KY1 3NA;71121;71121
IR DESIGN LIMITED;KY6 2QB;71121;71121
EPIPOLE LTD;KY11 9PF;74100;74100
IJDM TECHNICAL SERVICES LIMITED;KY6 2SS;71121;71121
SDC STRUCTURAL DESIGN LIMITED;KY5 9HJ;71121;71121
ADVANCED VEHICLE WRAPS LTD;KY12 8LB;74100;74100
DIGITAL SOUL DESIGN LTD;KY7 6UZ;74100;74100
NAMISU LTD;KY1 3AJ;74100;74100
TINDAL PROJECTS AND AUTOMATION LIMITED;KY2 6PD;71122;71121
ELMCA DESIGN ENGINEERING LTD;KY11 8LE;71121;71121
BRUCEFIELD ENGINEERING LIMITED;KY11 4SZ;71121;71121
TERMACK LIMITED;KY1 1NY;74100;74100
ARRO LIGHTING AND EVENTS LTD;KY1 3NA;74100;46180
MOUNTAIN ASH DESIGN LIMITED;KY12 7HY;74100;74100
O & G TECHNIK LIMITED;KY2 5PH;71121;71121
STEVE MURPHY CONTINUOUS IMPROVEMENT LIMITED;KY4 8BP;71121;71121
COXSON DECORATORS LIMITED;KY2 6HR;74100;74100
A.V.S SCOTLAND LTD;KY1 4EH;74100;74100
MEJBAS LIMITED;KY1 1HX;74100;74100
INNOVONATION LTD;KY11 4BD;74100;74100
V EDUCATIONAL & TECHNICAL SERVICES LIMITED;KY11 4FD;74100;74100
ROTAWAVE SCOTLAND LIMITED;KY6 2RU;72190;71121
HUTCHISON DESIGN AND ENGINEERING LTD;KY2 5UL;71121;71129
GASTRONOMIC PR LIMITED;KY5 0DA;74100;74100
MALLARD GROVE PROJECTS LIMITED;KY12 7NZ;71121;71121
STAR ELECTRICAL DESIGN LTD;KY2 6JL;74100;74100
XP CONSULTANTS LTD;EH5 1FS;74100;74100
CHAMPION ELECTRONICS DESIGN LIMITED;KY11 8GB;74100;74100
KALEIDOSCOPE STUDIOS LTD;KY11 9JN;74100;74100
BOWIE ELECTRICAL SERVICES LTD;KY2 6YS;71121;71121
