Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
FIFE CULTURAL TRUST;KY2 6NA;91011;90010
ALHAMBRA THEATRE TRUST;EH4 3BL;90040;90040
DANCEHAVEN;KY1 2RA;90040;90040
ABERDOUR FESTIVAL LIMITED;KY11 9PF;90010;90010
KINGS THEATRE KIRKCALDY LIMITED;KY1 1HR;90040;90040
FIFE (DUNFERMLINE) PRINT WORKSHOP LIMITED;KY12 7DS;90040;90040
FIRE STATION CREATIVE LIMITED;KY12 7AN;90040;90040
4 Arts - Make a Difference;KY12 0LW;88990;90040
Balbirnie Gallery;KY7 6NE;90040;90040
Carnegie Hall;KY12 7JA;90040;90040
Gifford Arts;KY1 1JL;90040;90040
Glenrothes Recording & Rehearsing;KY6 2RP;90040;90040
The Quay Gallery;KY3 0SH;90040;90040
Chubby Deckers;KY2 5PZ;90010;93290
Dunfermline Carnegie Library & Galleries;KY12 7NL;90040;91011
S9fifty;KY6 2RP;90040;90040
Adam Smith Theatre;KY1 1ET;90040;90040
Alhambra Theatre;KY12 7NX;90040;90040
Loopmaniac Recording & Rehearsal Studios;KY12 7SD;90040;90040
Kirkcaldy Galleries;KY1 1YG;90040;91011
Robertson Fine Art;KY7 4NS;90040;90040
Lochgelly Centre;KY5 9RD;90040;90040
Primary Colours Art Club;KY11 8NA;90040;90040
Ancient Images;KY3 0TX;90040;90040
Kirkcaldy Museum & Art Gallery;KY1 1YG;90040;90040
Steve Steele Disco Karaoke Hire;KY6 3HJ;90010;90010
Tin Pan Alley;KY6 3HU;90040;90040
THE VETTRIANO TRUST;KY7 5NA;90020;90020
RED HOT CHILLI PIPERS LTD.;KY1 3PS;90010;90010
OMBETJA YEHINGA ORGANISATION (SCOTLAND);ML11 8NQ;85520;85520
KIRKCALDY OLD KIRK TRUST;KY2 5JJ;68202;90040
O.B. LIGHTING LTD;KY12 7QQ;90020;90020
YES-U-ARE PARTNERSHIP;KY12 7AJ;90040;90040
DUNFERMLINE FIRST LIMITED;KY12 7EB;68209;82990
FIRST DUNFERMLINE;KY12 7EB;82990;82990
DEMAC RECORDINGS LIMITED;KY1 3PS;90020;90020
FIRE STATION CREATIVE TRADING LIMITED;KY12 7AN;90040;90040
WALK HIGHLANDS AND ISLANDS LTD;KY3 9SB;79120;79120
NOMIS TALENT LIMITED;KY12 8DQ;90020;90020
EVENTRAIL LIMITED;KY7 5NA;62012;62012
WRITE RAMMY LTD;KY11 8JR;58110;58110
@ROMICLARKEDANCE LIMITED;KY5 9HH;90020;90020
INSPIRE THEATRE WORKSHOPS LTD;KY1 1UY;85590;85590
HAZE EVENTS LTD;KY12 0XT;90010;90010
NARDONE'S ACADEMY OF PERFORMING ARTS COMMUNITY INTEREST COMPANY;KY4 8AB;90010;90010
FAT CAT PRODUCTIONS LIMITED;KY3 0EG;90010;90010
DREAM MODELS LTD;KY4 9JB;59112;59112
BE KIND LIVE C.I.C.;KY6 3NG;90010;90010
