Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
Unique Guitars;KY7 6NR;32200;47591
R T SHEPHERD & SON (SCOTLAND) LIMITED;KY5 0ND;32200;32200
G1 REEDS LIMITED;KY1 2RU;32990;32200
FIFE TECHNICAL SPECIALISTS LTD;KY12 9NT;62020,62090,95110;59200
MAROON SERVICES LIMITED;KY2 5TU;59200;59200
MERRITT ISLAND PRODUCTIONS LIMITED;KY1 3PS;59200;59200
GRACENOTE STUDIOS LTD;KY11 3LB;85590;59200
OUT OF FOCUS LTD;KY12 8HN;70229;59200
GLUM GUN LTD;KY12 7SA;59200;59200
EGGMAN STUDIOS LTD;KY12 8DF;59200;59200
ENERGY WORKS LIMITED;KY11 2AG;86900;59112
AVS IMAGE DESIGNS LTD;KY4 9JB;60200;59200
ASYLUM SOUND PRODUCTIONS LTD;KY1 2RN;90030,94990;59200
UNIT-20 (SCOTLAND) LTD;KY12 0SJ;93290;59200
ROCK THE BOAT MUSIC GROUP LTD;KY1 1DT;59200;59200
EFR STUDIOS LTD;KY1 2BP;59200;59200
