Company name;Postcode;Primary UK SIC (2007) code;Website;Secondary UK SIC (2007) codes
DIGITASLBI LIMITED;EH3 8HA;73110;www.digitas.com;73110
CELLO SIGNAL LIMITED;EH6 6LX;73110;www.leith.co.uk;73110
BD NETWORK LIMITED;EH3 8HA;73110;www.thisisbd.com;73110
BD NETWORK (HOLDINGS) LIMITED;EH3 8HA;73110;www.bdntwk.com;73110
BLONDE DIGITAL LIMITED;EH6 6LX;73110;https://cellosignal.com;73110
ENCORE DIGITAL MEDIA LIMITED;EH3 7PE;73120;;73120
STORY UK LIMITED;EH3 8HA;73110;www.storyuk.com;73110
H & A GRAPHIC DESIGN LIMITED;EH4 3AX;73110;www.ha-agency.com;73110
MAXIMISEMYWEBSITE LTD;EH3 6AT;73110;;73110
5 STYLE LTD;EH9 1RA;73110;;73110
MUMMY JOJO LIMITED;EH12 8WU;73110;;73110
LOTHIAN FISHKEEPERS LIMITED;EH54 6LT;73120;;73120
MEDIA BLOOM LIMITED;EH2 1EN;73120;;73120
WOLF AND STAG STUDIO LTD;EH54 7DB;73120;;"73120
96090"
Admedica;;73110;;73110
Arthouse;;71121;;"71121
73110"
The Gate Interactive;;73110;www.thegateedinburgh.com;73110
Dentsu Aegis Network;;73110;www.dentsuaegisnetwork.com;73110
P M Solutions;;73110;www.pmsol.co.uk;"18129
73110"
Ignition;;70229;www.watchsparksfly.co.uk;"70229
73110"
Flock Creative;;73110;www.flockthinks.com;73110
Stewart McRobert Copywriting;;73110;;73110
Display Works;;73110;www.displayworks.co.uk;"68202
73110"
Exterion Media;;73110;www.exterionmedia.co.uk;73110
J B Publishing;;73110;;"28930
73110"
Supersize Media;;73110;;73110
Professional Equity Solutions;;73110;www.professionalequitysolutions.co.uk;73110
Tanami;;73110;www.tanami.co.uk;73110
Moran Creatives;;73110;www.moran-creatives.com;"70229
73110"
Ariix Global Gold;;73110;;73110
Space & Time Media;;73110;www.spaceandtime.co.uk;73110
Tree House 24;;73110;www.treehouse24.co.uk;73110
Elite Agency;;73110;;73110
Soul Entertainment Studio;;73110;www.soulentertainmentstudio.com;73110
Allera Marketing;;73110;;73110
St Ninians Manse;;73110;www.studiosomething.co;73110
The Union Advertising Agency;;73110;;73110
VEXASCRIPT LIMITED;EH3 8HE;73110;;73110
MEDIA-LINK TWO;EH7 4HG;73120;www.media-link.co.uk;73120
WEB ADVERTISING LIMITED;EH6 7BT;73110;www.madewithweb.com;73110
THE UNION ADVERTISING AGENCY LIMITED;EH3 5NS;73110;www.union.co.uk;73110
LANARKSHIRE LEISURE LINK LIMITED;EH6 7EL;73110;;73110
INDIGO (PR) LIMITED;EH6 6SE;73110;www.indigopr.com;"70210
73110
82990"
NON STOP ADVERTISING LTD.;EH6 7JQ;73110;www.nst.co.uk;73110
ONLYU LIMITED;EH3 5NS;73110;www.union.co.uk;73110
BIG ADVERT LIMITED;EH12 7SJ;73110;www.bigadvert.com;73110
IMPRESS INTERNATIONAL MEDIA LTD.;EH23 4LR;73120;www.impressmedia.com;73120
GREEN ROOM FILMS LIMITED;EH6 6SE;59112;www.greenroomfilms.com;"59112
73110"
