Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
CENTRE FOR THE MOVING IMAGE;EH3 9BZ;59140;"59140
85520";www.filmhousecinema.com
LIMBO PRODUCTION LTD;EH6 6RR;59111;59111;
BELMONT FILMHOUSE LIMITED;EH3 9BZ;59140;59140;www.belmontfilmhouse.com
REGIONAL SCREEN SCOTLAND;EH1 3LH;59140;59140;www.regionalscreenscotland.org
MEDIA EDUCATION CIC;EH11 2EB;59112;"59112
85520";
EDINBURGH FILM COMPANY LTD;EH2 4HU;59112;59112;www.ouredinburghwedding.com
HOLTSGATA FILMS LTD;EH9 1HG;59112;59112;
ROARING FIRE FILM PRODUCTION LIMITED;EH9 2RA;59111;59111;
GOAT MEDIA LIMITED;EH5 3PL;59112;59112;
WILD LEAF REELS C.I.C.;EH5 2HU;59112;"59112
59120
85590";
BROADLEAF COMMUNITY MEDIA DEVELOPMENT C.I.C.;EH54 6BU;59112;"59112
59120
85520";
ONRED PRODUCTIONS LTD;EH11 1UB;59112;59112;
BLACK GOBLIN AUDIO LTD;EH7 5AJ;58290;"58290
59120
59200";
EDINBURGH FESTIVAL OF INDIAN FILMS AND DOCUMENTARIES LIMITED;EH14 1TJ;59140;"59140
90010";
A & M Video Services;EH14 1PZ;59111;59111;
Dominion Cinema;EH10 4RT;59140;"59140
90040";www.dominioncinema.com
Paul Bock Photography;EH6 4DD;74209;"59112
74209";www.paulbock.com
Screen Education Edinburgh;EH4 4BA;59111;"59111
85590";www.screen-ed.org
S Irving;EH22 2PB;59112;59112;
Sound & Vision Technical Services;EH6 5BX;95220;"59112
95220";www.svtservices.co.uk
The Gate Films;EH6 4DD;59111;59111;www.thegatefilms.com
Cameo;EH3 9LZ;59140;59140;
Orla O'Connor Casting;EH6 8RG;59111;59111;www.orlaoconnorcasting.co.uk
Circuit Cinema the General Enqs;EH54 6QX;59140;59140;
Dkav;EH42 1XL;59112;"59112
62020";www.dkav.co.uk
Rain Town Productions;EH54 9EN;59111;59111;www.raintownfilms.co.uk
Pufferfish;EH9 1UU;59112;59112;www.pufferfishdisplays.co.uk
Evans Video Productions;EH16 4GF;59111;"59111
96090";www.evansvideoproductions.com
Film by Numbers;EH14 5EE;59111;59111;www.filmbynumbers.co.uk
Volcano City;EH6 5DA;59112;"59112
82990";www.volcanocity.com
Tide;EH10 6UW;59112;59112;www.tide-motion.co.uk
S V P;EH9 3ES;59111;59111;
Automaton;EH3 6JQ;90030;"59112
90030";
Dough Productions UK;EH10 5JF;59111;59111;
Treasured Memories Scotland;EH19 2PH;59112;59112;
Rapid Visual Media;EH1 3QB;59111;59111;www.rapidvisualmedia.co.uk
Black Bear Productions;EH9 2DQ;59111;59111;www.blackbear.tv
L S Productions;EH6 7AE;59111;59111;www.lsproductions.com
volcanocity.com;EH6 5DA;59112;59112;www.volcanocity.com
Amodeiproduction;EH22 2BZ;59111;59111;www.amodeiproduction.com
Vue Entertainment;EH1 3EN;90030;"59140
90030";www.myvue.com
Dream Resolution;EH8 9HQ;59112;59112;
Alfie Marsh Film & Photography;EH15 3PD;59112;"59112
74209";
Heriot Video;EH11 1QL;59112;59112;
Heriot a V;EH20 9HN;59112;59112;www.heriotav.co.uk
Connected Influence;EH6 7BS;59111;59111;www.connectedinfluence.com
Ofcom Scotland;EH2 4AD;71129;"59112
71129";www.ofcom.org.uk
Rare Bird Media;EH6 8RG;59111;59111;www.rarebirdmedia.com
Hubbub;EH6 4SA;59112;"26400
59112";www.hubbubknowhow.com
GRANADA CINEMAS (EDINBURGH) LIMITED;EH10 4RT;59140;59140;www.dominioncinema.co.uk
HERIOT ELECTRONICS LIMITED;EH20 9HN;59112;59112;www.heriotav.co.uk
THEATRE WORKSHOP SCOTLAND LIMITED;EH4 3BL;59111;"59111
90010
90030";www.theatre-workshop.com
HOLDINGS ECOSSE LIMITED;EH6 6RR;59111;59111;
SCOTPROMPT LIMITED;EH14 5NX;59112;59112;
MARTIN BONE ASSOCIATES LIMITED;EH14 5NX;59112;59112;
THE EDINBURGH INTERNATIONAL FILM FESTIVAL LIMITED;EH3 9BZ;59140;59140;www.edfilmfest.org.uk
LEMAN PRODUCTIONS LIMITED;EH39 4BP;59120;59120;
CARPE DIEM PRODUCTIONS LIMITED;EH1 3LD;59111;59111;
SPEAKEASY PRODUCTIONS LIMITED;EH11 1QE;59112;59112;www.speak.co.uk
DAVID GLENNIE SERVICES LIMITED;EH55 8BE;62090;"59112
62090";
FREEDONIA FILMS LIMITED;EH1 1TF;59111;59111;
CORMORANT PRODUCTIONS & FILMS LTD.;EH15 2DX;59112;59112;www.cormorantfilms.co.uk
OSCAR FILMS LIMITED;EH6 4EA;59111;"59111
59112
59113";
EXTRA VEG LTD.;EH10 5XD;59111;"59111
59112
59113";www.extraveg.com
SCOTTISH KIDS ARE MAKING MOVIES LIMITED;EH3 6AT;59111;59111;www.skamm.org.uk
SKYLINE PRODUCTIONS LIMITED;EH3 6PS;59111;59111;www.skyline.uk.com
SKYLINE FILMS LIMITED;EH3 6PS;59120;59120;www.skylinefilms.co.uk
MAKAR PRODUCTIONS LIMITED;EH12 8DD;59111;59111;
BOBBY'S GIRL PRODUCTIONS LIMITED;EH39 4BP;59120;59120;
FORGED FILMS LIMITED;EH9 1QT;59111;59111;
FREAK LIMITED;EH5 3JJ;59120;59120;www.freak-works.com
HEEHAW LIMITED;EH4 3BJ;59112;"59111
59112
59120";www.heehaw.co.uk
GREEN ROOM FILMS LIMITED;EH6 6SE;59112;"59112
73110";www.greenroomfilms.com
ACTING UP LIMITED;EH1 3HP;90030;"59112
85590
90030";www.actingup.co.uk
