Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
ZINC MEDIA GROUP PLC;EH3 8AN;59113;"58142
58190
59113
82110
82990";www.tenalps.com
HAPPY BERT LTD;EH2 3JG;59113;59113;www.berkeley-scott.co.uk
SAT-7 INTERNATIONAL;EH6 7BD;59113;59113;www.sat7.org
MIDLOTHIAN COMMUNITY MEDIA ASSOCIATION;EH22 4RT;60100;60100;www.blackdiamondfm.com
WILD LEAF REELS C.I.C.;EH5 2HU;59112;"59112
59120
85590";
BROADLEAF COMMUNITY MEDIA DEVELOPMENT C.I.C.;EH54 6BU;59112;"59112
59120
85520";
BLACK GOBLIN AUDIO LTD;EH7 5AJ;58290;"58290
59120
59200";
Movie Express;EH19 3HA;59133;59133;
Renaissance Audio;EH6 6LX;60200;60200;www.renaissanceaudio.co.uk
S T V;EH3 9QG;60200;60200;www.stv.tv
East Coast F M;EH41 3PP;59113;"59113
88990";www.eastcoastfm.co.uk
Edinburgh Video Guide;EH3 6QZ;59133;59133;
Radio Saltire;EH33 1LH;59113;"59113
88990";www.radiosaltire.com
Crystal F M;EH26 8HA;59113;59113;www.crystalfm.co.uk
LEMAN PRODUCTIONS LIMITED;EH39 4BP;59120;59120;
PLAYBACK H.D. LIMITED;EH14 5SN;59113;59113;
YAMAL PRODUCTIONS LTD.;EH7 4JE;59113;59113;
OSCAR FILMS LIMITED;EH6 4EA;59111;"59111
59112
59113";
EXTRA VEG LTD.;EH10 5XD;59111;"59111
59112
59113";www.extraveg.com
SKYLINE FILMS LIMITED;EH3 6PS;59120;59120;www.skylinefilms.co.uk
COLIN STEPHEN BROADCAST SERVICES LIMITED;EH29 9LA;59200;"59200
60100
90020
90040";www.csbs.tv
ROCKETHOUSE PRODUCTIONS LTD;EH39 4PW;60100;60100;www.rockethouse.co.uk
BOBBY'S GIRL PRODUCTIONS LIMITED;EH39 4BP;59120;59120;
FREAK LIMITED;EH5 3JJ;59120;59120;www.freak-works.com
HEEHAW LIMITED;EH4 3BJ;59112;"59111
59112
59120";www.heehaw.co.uk
RED FACILITIES LIMITED;EH6 6QH;59120;"59120
59200";www.redfacilities.com
RIVERSIDE TV STUDIOS LIMITED;EH8 9SU;60200;60200;www.riversidetv.co.uk
RED KITE ANIMATION LIMITED;EH3 5JY;59113;59113;www.redkite-animation.com
CSK INTEGRATED SOLUTIONS LTD;EH12 8UB;59112;"59112
59113";www.cskis.com
BONA BROADCASTING LIMITED;EH6 4AA;59113;"59113
59200
60100
85590";www.bonabroadcasting.co.uk
FREAKWORKS LIMITED;EH6 6RB;59120;"59112
59120";www.freak-works.com
NIPHT LIMITED;EH9 1SN;72110;"26701
59113
72110
72190";
CORRYVRECKAN LTD.;EH9 2DF;58110;"01700
58110
59113
60200";
RED KITE DISTRIBUTION LIMITED;EH3 5JY;59113;59113;www.redkite-animation.com
CONNECTFILM LTD.;EH8 8HR;59111;"59111
59113";
OSCUS MEDIA LIMITED;EH4 6RB;59112;"59112
59113";
HEATON PICTURES LIMITED;EH3 6AT;59120;59120;
THE AULD EDITING COMPANY LIMITED;EH31 2DW;59113;59113;
