Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
ZINC MEDIA GROUP PLC;EH3 8AN;59113;"58142
58190
59113
82110
82990";www.tenalps.com
CANONGATE BOOKS LIMITED;EH1 1TE;58110;58110;www.canongate.co.uk
SCOTTISH PROVINCIAL PRESS LIMITED;EH3 8AN;58130;"58130
58142";www.spp-group.com
THE ROYAL LYCEUM THEATRE COMPANY LIMITED;EH3 9AX;90030;90030;www.lyceum.org.uk
EDINBURGH UNIVERSITY PRESS LIMITED;EH8 8PJ;58110;"58110
58141";www.euppublishing.com
DARWIN - GREY LIMITED;EH6 6LU;58142;58142;www.darwinhc.com
EMERALD WORKS LIMITED;EH2 1EX;58190;58190;www.goodpractice.com
ESSENTRA (KILMARNOCK) LTD.;EH2 4JN;18129;18129;www.essentra.com
TRAVERSE THEATRE (SCOTLAND) LIMITED;EH1 2ED;90030;"85520
90010
90020
90030";www.traverse.co.uk
HOLYROOD COMMUNICATIONS LTD.;EH8 8DP;58190;"58190
82302";www.holyrood.com
EDINBURGH INTERNATIONAL JAZZ AND BLUES FESTIVAL LIMITED;EH6 6BZ;90030;90030;www.edinburghjazzfestival.com
MILLARWORLD LIMITED;EH3 8HA;58190;"58190
90030";
CHEEK BY JOWL THEATRE COMPANY LIMITED;EH3 6AQ;90030;90030;www.cheekbyjowl.com
MASHABLE (EUROPE) LTD.;EH3 8HA;58190;58190;
ARTLINK EDINBURGH AND THE LOTHIANS;EH3 9DY;90030;90030;www.artlinkedinburgh.co.uk
PORTOBELLO PARTNERSHIP LIMITED;EH3 6NL;58141;"58141
70229
82302";www.transporttimes.co.uk
DOVECOT STUDIOS LIMITED;EH1 1LT;13200;"13200
13939
90030
90040";www.dovecotstudios.com
CRAFT SCOTLAND;EH3 9FN;90030;90030;www.craftscotland.org
CATHERINE WHEELS THEATRE COMPANY LIMITED;EH21 6AF;90030;"90010
90030";www.catherinewheels.co.uk
THE GRID IRON THEATRE COMPANY LIMITED;EH1 2BB;90030;90030;www.gridiron.org.uk
STRANGE TOWN;EH6 8RG;90030;90030;www.strangetown.org.uk
LIVE MUSIC NOW SCOTLAND;EH4 1QA;90010;"90010
90030";www.livemusicnow.org.uk
LOVE MUSIC PRODUCTIONS LTD;EH9 1ES;90030;90030;www.lovemusic.org.uk
ASSEMBLY THEATRE LIMITED;EH8 9SU;90030;90030;www.assemblyfestival.com
LYCEUM THEATRE TRADING LIMITED;EH3 9AX;56101;"56101
56302
90030";http://lyceum.org.uk
HEBRIDES ENSEMBLE;EH1 1DD;90030;90030;www.hebridesensemble.com
XYZ MAPS LTD;EH22 3NX;62090;"58190
62090
74909";www.xyzmaps.com
ARKAY IMAGING LIMITED;EH6 5EQ;18129;18129;www.arkay-imaging.co.uk
CAIN PROJECT MANAGEMENT LIMITED;EH12 5HG;58190;"58190
62090
82990";
PAIN CONCERN;EH15 3HS;58190;"58190
63990";
SOLAS FESTIVAL;EH12 5HA;90030;90030;www.solasfestival.co.uk
DUNEDIN ACADEMIC PRESS LIMITED;EH1 3QB;58110;58110;www.dunedinacademicpress.co.uk
