Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
AGENCY FOR THE LEGAL DEPOSIT LIBRARIES;EH1 1EN;91011;91011;www.legaldeposit.org.uk
THE SCOTTISH POETRY LIBRARY;EH8 8DT;91011;91011;www.scottishpoetrylibrary.org.uk
LIVING MEMORY ASSOCIATION;EH8 7EY;91012;"88100
91012
91020";www.livingmemory.org.uk
Dunbar Library Within Bleachingfield Centre;;91011;91011;www.eastlothian.gov.uk
MIDLOTHIAN SCIENCE FESTIVAL;EH9 3BF;74909;"74909
85520
91011";www.midlothiansciencefestival.com
PALCRAFTS (UK) LIMITED;EH2 4JN;85590;"85590
91011";
LOCAL VOICES COMMUNITY INTEREST COMPANY;EH33 1LR;85520;"85520
91012";
COUSLAND SMIDDY TRUST;EH22 2NZ;91030;"91012
91020
91030
91040";www.couslandsmiddy.co.uk
THE VIRTUAL HAMILTON PALACE TRUST;EH22 3FB;91012;91012;www.vhpt.org
Almondbank Centre;EH54 5EH;91011;91011;www.westlothian.gov.uk
Balerno Library;EH14 7EQ;91011;91011;www.edinburgh.gov.uk
Balgreen Library;EH11 3AT;91011;91011;www.edinburgh.gov.uk/libraries
Simpson Library;EH48 1TS;91011;91011;www.westlothian.gov.uk
Blackburn Library;EH47 7LG;91011;91011;www.westlothian.gov.uk/libraries
Blackhall Library;EH4 5EG;91011;91011;www.edinburgh.gov.uk
Blackridge Library;EH48 3SP;91011;91011;www.westlothian.gov.uk/libraries
Bo'ness Library;EH51 0AH;91011;91011;www.falkirkcommunitytrust.org
Broxburn Library;EH52 5LH;91011;91011;www.westlothian.gov.uk
Carmondean Library;EH54 8PT;91011;91011;www.westlothian.gov.uk/libraries
Colinton Library;EH13 0BQ;91011;91011;www.edinburgh.gov.uk/libraries
Corstorphine Library;EH12 7HD;91011;91011;www.edinburgh.gov.uk
Craigmillar Library;EH16 4DS;91011;91011;www.edinburgh.gov.uk/directoryrecord/5059/craigmillarlibrary
East Linton Library;EH40 3BX;91011;91011;www.eastlothian.gov.uk
Fountainbridge Library;EH11 1BG;91011;91011;www.edinburgh.gov.uk/libraries
Gullane Library;EH31 2AF;91011;91011;www.eastlothian.gov.uk
Lanthorn Library;EH54 6JJ;91011;91011;www.westlothian.gov.uk
Leith Library;EH6 4AE;91011;91011;www.edinburgh.gov.uk/libraries
Longniddry Library;EH32 0LW;91011;91011;www.eastlothian.gov.uk
McDonald Road Library;EH7 4LU;91011;91011;www.edinburgh.gov.uk/libraries
Moredun Library;EH17 7HL;91011;91011;www.edinburgh.gov.uk/libraries
Morningside Library;EH10 4PU;91011;91011;www.edinburgh.gov.uk/libraries
Muirhouse Library;EH4 4TZ;91011;91011;www.edinburgh.gov.uk/libraries
Knowledge Services;EH12 9EB;91011;91011;www.healthscotland.com/knowledge
Newtongrange Library;EH22 4LG;91011;91011;www.midlothian.gov.uk
Ormiston Library;EH35 5LQ;91011;91011;www.eastlothian.gov.uk
Oxgangs Library;EH13 9LY;91011;91011;www.edinburgh.gov.uk/libraries
Piershill Library;EH8 7BQ;91011;91011;www.edinburgh.gov.uk/libraries
Portobello Library;EH15 1AU;91011;91011;www.edinburgh.gov.uk
Pumpherston Library;EH53 0LF;91011;91011;
Registration of Births Deaths & Marriages;EH1 1YP;91012;91012;www.edinburgh.gov.uk
Registration of Births Deaths & Marriages;EH54 6FF;91012;91012;
Libraries;EH25 9LD;91011;91011;www.midlothian.gov.uk
S S C Library;EH1 1RF;91011;"82990
91011";www.ssclibrary.co.uk
South Queensferry Library;EH30 9RD;91011;"62090
91011";www.edinburgh.gov.uk
Stockbridge Library;EH3 5BA;91011;91011;www.edinburgh.gov.uk/libraries
Wallyford Library;EH21 8BA;91011;91011;
Wester Hailes Library;EH14 2ST;91011;91011;www.edinburgh.gov.uk
Whitburn Library;EH47 0AR;91011;91011;www.westlothian.gov.uk
Gilmerton Library;EH17 8RG;91011;91011;www.edinburgh.gov.uk
Registers of Scotland;EH8 7AU;91012;91012;
Registration of Births Deaths & Marriages;EH53 0EJ;91012;91012;www.westlothian.gov.uk
Central Library;EH1 1EG;91011;91011;www.edinburgh.gov.uk/libraries
Penicuik Public Library;EH26 9EP;91011;91011;www.midlothian.gov.uk/libraries
The National Library of Scotland;EH1 1EW;91011;91011;www.nls.uk
Dalkeith Library;EH22 1AE;91011;91011;www.midlothian.gov.uk/libraries
South Queensferry Register Office;EH30 9HP;91012;91012;www.edinburgh.gov.uk
Prestonpans Library;EH32 9NX;91011;91011;www.eastlothian.gov.uk
Services for Community & Local Library;EH17 8QF;91011;91011;www.edinburgh.gov.uk
Musselburgh Registration of Births Deaths & Marriages;EH21 6AF;91012;91012;www.eastlothian.gov.uk
Haddington Registration of Births Deaths & Marriages;EH41 3HA;91012;91012;www.eastlothian.gov.uk
Midlothian Council Registration Office;EH22 3AA;91012;91012;www.midlothian.gov.uk
Registration of Births Deaths & Marriages;EH45 8AG;91012;91012;www.scotborders.gov.uk
Danderhall Library;EH22 1QD;91011;91011;www.midlothian.gov.uk/library
Mayfield Library;EH22 5PB;91011;91011;www.midlothian.gov.uk/library
Whitburn Registration Office;EH47 0RA;91012;91012;
Gorebridge Library;EH23 4TT;91011;91011;www.midlothian.gov.uk
Ratho Library;EH28 8TT;91011;91011;www.edinburgh.gov.uk
East Calder Library;EH53 0EP;91011;91011;www.westlothian.gov.uk
Newington Library;EH9 2LN;91011;91011;
Midlothian Library Services Headquarters;EH19 2AE;82990;"82990
91011";www.midlothian.gov.uk/libraries
Granton Library;EH5 1DD;91011;91011;www.edinburgh.gov.uk/libraries
North Berwick Library;EH39 4JU;91011;91011;www.eastlothian.gov.uk/libraries
Innerleithen Library;EH44 6LA;91011;"84110
91011";www.scotborders.gov.uk
Peebles Library;EH45 8AG;91011;91011;www.scotborders.gov.uk
Libraries Access Services;EH1 1YJ;91011;91011;www.edinburgh.gov.uk
National Library of Scotland Foundation;EH1 1JN;91011;91011;www.nls.uk
Musselburgh Library;EH21 6AG;91011;91011;www.eastlothian.gov.uk
NB INFORMATION LIMITED;EH14 7BN;91012;91012;www.nb-info.co.uk
BOOK AND ARCHIVE CONSERVATION SERVICES LTD.;EH18 1LW;91012;91012;
ENCYCLOPAEDIA EUROPAICA LTD;EH28 8SD;91011;91011;
THE 1745 ASSOCIATION LIMITED;EH5 3HF;91011;"91011
91030";
LAVENDER MENACE CIC;EH6 8PZ;91012;91012;
