Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD.;EH3 9EG;62012;62012;
CRANEWARE PLC;EH3 5DA;62012;62012;www.craneware.com
INDIGOVISION GROUP LIMITED;EH26 0PY;26301;"26301
26309
62020";www.indigovision.com
INDIGOVISION LIMITED;EH26 0PY;62020;"26309
62020";www.indigovision.com
ADARMA LIMITED;EH3 9QG;62020;62020;www.ecs.co.uk
AMAZON DEVELOPMENT CENTRE (SCOTLAND) LIMITED;EH1 3EG;62020;62020;www.amazondc.com
AXIOS SYSTEMS PUBLIC LIMITED COMPANY;EH3 7HF;62012;"62012
62090";www.axiossystems.com
EXCEPTION LIMITED;EH12 9DT;62020;62020;www.exceptionuk.com
SAVANTA GROUP LIMITED;EH3 7PE;62012;"62012
73200";www.mig-global.com
OUTPLAY ENTERTAINMENT LIMITED;EH3 8HA;47990;"47990
58290
93290";www.outplay.com
DACOLL LIMITED;EH48 1TP;95110;"46510
62020
62090
95110";www.dacoll.co.uk
ORACLE GLOBAL SERVICES LIMITED;EH49 7LR;62012;"62012
62020
62090
63110";www.oracle.com
KIN AND CARTA CONNECT EUROPE LIMITED;EH6 6LB;62020;62020;www.realise.com
CONCEPT SYSTEMS LIMITED;EH2 4DF;62020;62020;www.iongeo.com
VELOCITY TECHNOLOGY SOLUTIONS UK LIMITED;EH3 9WJ;62020;"62020
62030";www.velocitycloud.com
KORALA ASSOCIATES LIMITED;EH7 4HG;62020;62020;www.kal.com
FREEAGENT CENTRAL LTD;EH3 9QG;62012;62012;www.freeagent.com
DAXTRA TECHNOLOGIES LTD.;EH2 4AD;62020;"58290
62020";www.daxtra.com
VERSION 1 LIMITED;EH12 9DH;62020;62020;www.version1.com
VETSPACE LIMITED;EH3 8HE;62020;62020;www.vetspace.com
SEEBYTE LIMITED;EH4 2HS;62020;"62012
62020";www.seebyte.com
CLEAR2PAY SCOTLAND LIMITED;EH2 2PR;62012;62012;www.fisglobal.com
INTELLIGENT POINT OF SALE LIMITED;EH3 9DN;62012;62012;www.intelligentpos.com
NDI RECOGNITION SYSTEMS LIMITED;EH48 1TP;62090;"28990
62012
62090
74209";www.ndi-rs.com
NDI TECHNOLOGIES LTD.;EH48 1TP;58290;"58290
62012
62020
62090";www.nditech.com
INTELLIGENT POINT OF SALE (SALES) LIMITED;EH3 9DN;62012;62012;www.intelligentpos.com
BOX MEDIA HOLDINGS LIMITED;EH2 4DB;62012;"62012
63990";
ANNOTATE SOFTWARE LIMITED;EH3 6DH;62012;"62012
72190";www.annotate.com
CRITERION TEC LTD;EH12 9DH;62020;"62020
62090";www.origo.com
DACOLL GROUP LIMITED;EH48 1TP;62020;"62020
62090
64209
95110";www.dacoll.co.uk
ZONEFOX HOLDINGS LIMITED;EH3 8JB;62012;62012;www.zonefox.com
PRICEWATERHOUSECOOPERS ASSURANCE UK LIMITED;EH3 8EX;62020;62020;www.pwc.co.uk
RGB SOLUTIONS LTD.;EH6 6EJ;62020;62020;www.rgbsolutions.co.uk
SCRIBTEX LIMITED;EH3 8EH;62012;62012;www.overleaf.com
PGP (UK) LIMITED;EH3 8UL;62020;62020;
EPIDOTE LIMITED;EH1 2EN;58290;"58290
62020";www.epidote.co.uk
SYNGRO LIMITED;EH2 3ES;62012;62012;www.marusyngro.com
INTRALLECT LIMITED;EH3 8JB;62020;62020;www.intrallect.com
WOODGATE CONSULTING LTD;EH7 5QH;62020;"62020
70229
85600";
REALISE HOLDINGS LIMITED;EH6 6LB;62020;62020;www.amazerealise.com
GEYL CONSULTING LTD;EH4 2WL;62020;62020;
DHANWANTARI CONSULTANCY LIMITED;EH4 5NE;62020;62020;
BDP TECHNOLOGY LTD;EH2 3DF;62012;62012;www.espc.com
HIPPO IT MANAGEMENT LIMITED;EH2 1EN;62020;62020;
DESIGN COMPUTER - AIDS LIMITED;EH6 6QH;62020;"62012
62020";www.decal.co.uk
FEANSA LIMITED;EH33 1DP;62020;"62020
62090";
JK IT SOLUTIONS LTD;EH10 6UZ;62020;62020;
FRASER BURGESS LIMITED;EH39 5LN;62020;62020;https://fraserburgess-public.sharepoint.com
BALERNO DIGITAL LIMITED;EH14 7NA;62012;"62012
62020";
WARD ENTERPRISES LIMITED;EH6 4LR;62020;62020;
GEORDIESCOT LTD;EH48 1AS;62020;62020;
BURHANI ESOLUTIONS LTD;EH1 2BW;58290;"58290
62030";
SREST CONSULTANCY SERVICES LTD;EH6 7BD;62012;"62012
62020
63120
85600";
D BI A CONSULTING LIMITED;EH14 5PJ;62020;62020;
TT CONSULTANCIES LTD;EH52 6WP;62020;62020;
SOLCOM123 CONSULTANCY LTD;EH54 9HU;62020;62020;
RHYAX CONSULTING SERVICES LTD;EH54 6TB;62020;62020;
DEMONSOFT LTD.;EH7 5YH;62020;62020;www.demonsoft.co.uk
SATTERTHWAITE SOLUTIONS LIMITED;EH9 2HW;62020;62020;
BUSINESS INTELLISENSE LIMITED;EH12 9GH;62020;62020;
KRK CONSULTING LTD;EH12 8LZ;62020;62020;
ADVISORY DIRECT LIMITED;EH3 6RE;62012;"62012
62020";
NEW LEAVES LTD.;EH4 2AP;62090;"62020
62090
95110";
CJ COULTER LTD;EH22 3FD;62020;62020;
TRASIMENE LTD;EH14 1NJ;62020;"62020
70229";
SERVMAN LIMITED;EH4 2GA;62020;62020;www.servman.co.uk
MARYNSOL LIMITED;EH2 4AD;62012;"62012
62020";
EDINBURGH CONSULTING LTD;EH33 2QY;62020;62020;
EAST+INCH CONSULTING LTD;EH6 8LH;62020;62020;
K NIXON LTD;EH10 4JG;62020;62020;
CTECS LTD.;EH3 6RE;63110;"58290
62020
63110";www.computertroubleshooters.co.uk
BHRIKUTI SOFTWARE SERVICES LTD;EH4 4BW;62020;62020;
CASEY DIVINE CONSULTING LIMITED;EH16 5SZ;62020;62020;
DATA KITCHEN LTD;EH6 7BG;62020;"62020
63110";
SINEWAVE DESIGN LIMITED;EH6 6AW;62012;62012;
QUALI-IT LTD;EH52 6HD;62020;"62020
70229";
AWLTUX LIMITED;EH41 3TB;62020;62020;
VERTECH TS LIMITED;EH22 3LN;62012;62012;www.vertech-ts.co.uk
GC LABS LIMITED;EH14 5PP;62020;62020;
SEMINAL SOLUTIONS LTD;EH6 7BD;62020;62020;www.seminalsolutions.com
LOYLE  MGT LTD;EH11 1DB;62020;62020;
PCSG (EDINBURGH) LTD;EH54 9AT;62020;62020;www.pcsgedinburgh.co.uk
PARIKH CONSULTANCY LIMITED;EH7 5ND;62020;62020;
JM WILKINSON SERVICES LTD;EH15 3LZ;62020;62020;
PIVOT AROUND THE WORLD LTD;EH32 9DW;62020;"62020
82990";
JAG MEDIA LTD;EH15 2RA;62020;62020;
METAMODELING TECHNOLOGIES LTD;EH48 2TL;62020;62020;
BD64IT LTD.;EH51 0PD;62020;"62020
95110";
EDINBURGH-ONLINE LIMITED;EH16 6NL;62020;62020;
CLOUDIMISE LTD.;EH6 7BD;62012;"62012
63110
85510
93199";
LOVAT COMPLIANCE LTD;EH2 3JG;58290;"58290
62012
63110
82302";
VASUDHA LTD.;EH10 5TZ;47990;"47990
62020
68100
68209";
CODOJO LIMITED;EH15 2EB;62011;"62011
62012";www.codojo.co.uk
STREAM CONSULTING LTD;EH2 3JG;62020;62020;www.streamconsultingltd.com
PMB STRATEGIC CONSULTING LTD;EH3 5AD;62020;62020;
STOMPY ROBOT LTD;EH10 5PD;62011;"62011
62012";
DRILLPINE LIMITED;EH4 3BU;62012;62012;www.drillpine.biz
ALAN MOODY LIMITED;EH7 4AF;62020;62020;
PLURISERVICE LTD;EH14 2NA;62020;62020;
DEPLOYMENT ENGINEER LIMITED;EH49 7JD;62020;62020;
SIMULISTICS LIMITED;EH10 4JS;62012;62012;www.simulistics.com
IGNIS MEDIA LTD;EH6 7BD;62012;62012;
HOLBURN-WATTS LIMITED;EH12 5AH;62020;62020;
ASPIRO LTD;EH6 8LH;62020;"62020
82990
96040";
PENFRIEND LIMITED;EH9 2HG;62012;62012;www.penfriend.biz
FRASER DEVELOPMENTS LIMITED;EH15 1PE;58290;58290;
HAVENS & ASSOCIATES LTD;EH17 8PE;62020;"62020
70229";
MOLTIS LTD;EH11 2RJ;62012;"62012
93290";
QUANTUM CYBER SECURITY TRAINING LIMITED;EH21 6DH;62020;62020;
CHMAC LTD;EH6 5LJ;62020;62020;
BLACK GOBLIN AUDIO LTD;EH7 5AJ;58290;"58290
59120
59200";
CALTON HILL LIMITED;EH16 6HJ;62012;62012;www.caltonhill.com
TOPQ SOFTWARE LIMITED;EH3 5DG;62012;62012;www.evestment.com
MILAMBER LTD;EH12BB;62020;62020;
TWENTY20 TECHNOLOGY LTD;EH26 8HA;62020;62020;
AC DATA SOLUTIONS LTD;EH51 0AW;62020;"62012
62020
82990";
FORT SOFTWARE LIMITED;EH6 4EY;62012;62012;
FIONTAR SCIENTIFIC LIMITED;EH3 6RE;62020;62020;
CLUESOME LTD;EH14 5BU;62020;"62020
62090";www.cluesome.ltd
IMAGINATE GAMES LTD;EH34 5HQ;62012;62012;
WATSON DONNELLY LIMITED;EH48 1AS;58290;58290;
Newtyne;EH12 5AP;62020;62020;www.newtyne.com
D B Computing;EH54 5JE;62020;62020;www.dbcomputing.co.uk
Digital View;EH6 6LA;62012;62012;
Icelantic;EH7 4HG;62020;"62020
62090";www.icelantic.com
Data Computer Services;EH15 1DE;62020;62020;www.data-edinburgh.co.uk
Bravura Solutions;EH3 8JB;62012;62012;www.bravurasolutions.com
Dkav;EH42 1XL;59112;"59112
62020";www.dkav.co.uk
Cardinal I T;EH2 4AX;62012;62012;www.cardinal-it.co.uk
Microflex;EH6 4RY;62012;62012;
Adobe Systems;EH11 4DF;62012;"47410
62012";www.adobe.com
Lugo;EH2 1EP;62020;62020;www.lugoit.co.uk
Fidra;EH40 3DB;62020;62020;www.fidraconsulting.com
N-trust I T;EH54 7DE;62020;62020;www.n-trustit.co.uk
Scots I T;EH54 8SA;62020;"62020
62090";
J E Anderson;EH4 8DT;62020;62020;
Basestation;EH13 0LE;62010;"62010
62012";www.base-station.co.uk
Cashfac Technologies;EH54 6AX;62012;62012;www.cashfac.com
T B C Consultants;EH10 5EP;62020;"62020
70229";www.tbcconsultants.com
Bob Jones Computer Consultant;EH31 2DQ;62020;"62020
95110";
Cadence;EH54 7HH;62012;62012;www.cadence.com
Intransit Software;EH6 6JA;62012;62012;www.intransitgroup.co.uk
Allied Systems;EH11 2NP;62020;62020;www.alliedsystems.co.uk
Greystone Consulting;EH14 9BB;62020;"62020
62090";www.greystone.co.uk
Logicnow;EH2 2PJ;62012;62012;www.logicnow.com
Pyramid I T;EH54 6GU;62020;62020;www.pyramid-it.co.uk
Plenty O'Puddocks;EH7 5NE;62012;"61900
62012";www.plentyopuddocks.com
Practical Media;EH10 5DT;62012;"62010
62012";www.practicalmedia.co.uk
Clearwater Analytics;EH2 2AZ;62012;"47410
62012";www.clearwater-analytics.com
Simplifie;EH3 9QA;62012;62012;www.simplifie.com
Zonefox;EH3 9DR;62012;62012;
Pulsant;EH12 9LB;62020;62020;
Calnex;EH49 7LR;62012;62012;www.calnexsol.com
Criton;EH3 9SJ;62020;62020;
Bad Dinosaur;EH6 5NP;62012;62012;www.baddinosaur.co.uk
Servelec;EH8 8DT;62012;62012;www.servelec.co.uk
Artificial Lift Performance;EH3 8EG;62012;62012;
Brick by Brick;EH6 8NA;62020;"62020
62090";www.madebrickbybrick.co.uk
Gecko Engage;EH3 5DQ;62012;62012;www.geckoengage.com
C H B Global;EH2 4ET;62020;"62020
62090";www.chbglobal.com
I T Hotdesk;EH2 2AF;62020;"62020
62090";www.ithotdesk.com
Why Etellect;EH2 3ES;62012;"47410
62012";
Lawware;EH3 7NS;62020;62020;www.lawware.co.uk
EDIT 515 LIMITED;EH12 5AH;62012;"62012
70221
85590";www.edit515.co.uk
CAMPBELL LEE COMPUTER SERVICES LIMITED;EH12 9LB;62020;62020;www.campbell-lee.co.uk
DISTRIBUTED MANAGEMENT SYSTEMS LIMITED;EH3 6NL;62012;62012;www.casque.co.uk
CLUSTAN LIMITED;EH12 6HZ;14131;"14131
58110
62012
72190";www.clustan.com
AS-AD SOFTWARE LIMITED;EH45 8AT;62020;62020;http://ourworld.compuserve.com
EDIT SYSTEMS LIMITED;EH12 5AH;62012;62012;
INFOGRAPHICS UK LTD.;EH30 9QZ;62012;62012;www.infographics.co.uk
KNOW EDGE LIMITED;EH14 1AY;62020;62020;www.knowedge.co.uk
COMPUTER APPLICATION SERVICES LIMITED;EH14 4AP;62020;"62012
62020";www.casltd.com
JENBURN LIMITED;EH12 5AH;62020;62020;
LYHN LIMITED;EH6 7BD;62012;62012;www.lyhn.co.uk
ALISON WILL LIMITED;EH4 3RL;62020;"62020
68209";
CHAPMAN COMMUNICATIONS LIMITED;EH4 3BZ;62020;62020;
ARTIFICIAL INTELLIGENCE SOLUTIONS LIMITED;EH27 8LR;62012;62012;
EXNET LIMITED;EH2 3JG;62020;62020;www.exnet.com
BYTESCREEN LIMITED;EH4 2UP;62020;62020;
THE TRAX CORPORATION LIMITED;EH7 5LA;62012;62012;
CHARLES DUNCAN CODEWRIGHTS LIMITED;EH2 1DF;62012;62012;
BRADANACH LIMITED;EH2 4JN;62020;62020;
MILITARY ORDNANCE DESIGN LIMITED;EH10 4AZ;72190;"29100
62012
72190";
CONTINENTAL SOFTWARE SERVICES LIMITED;EH48 1TJ;62012;62012;www.continentalsoftwareservices.co.uk
DELPHI COMPUTER CONSULTANTS LIMITED;EH8 9PY;62020;62020;www.delphicc.com
DEGREEMATCH LIMITED;EH22 3AD;62012;62012;
F.D.F. SERVICES LIMITED;EH49 6BZ;62020;62020;http://fdfinfonet.co.uk
REFLEX SOFTWARE LIMITED;EH24 9DD;62020;62020;
CALBA LIMITED;EH12 9DQ;70229;"62020
70229";www.calba.com
FX1 LTD;EH9 1TX;62090;"62020
62090
70229";
NEIL MACKINNON LIMITED;EH39 5HJ;62020;62020;www.neilmackinnon.co.uk
STEPHEN RICHARDS CONSULTING LIMITED;EH3 6AJ;62012;62012;www.learmonth.co.uk
NETEXTREMITY LTD;EH30 9SQ;62020;62020;www.netextremity.com
MITREBYTE LIMITED;EH12 7TX;62020;62020;
REVELDESIGN LIMITED;EH48 2BW;62020;62020;
APPLEMILL COMPUTING LIMITED;EH6 6JH;62020;62020;
THE SOFTWARE SYSTEMS STUDIO LIMITED;EH32 0PR;62020;62020;
MILLBROOK SOFTWARE SERVICES LIMITED;EH2 4JN;62020;62020;
BEC (SYSTEMS INTEGRATION) LTD.;EH27 8BX;62020;62020;www.becsi.co.uk
ULTRA-SOFT LIMITED;EH23 4HX;62012;62012;http://uk2.net
THE OCTANE GROUP LIMITED;EH15 2JN;62012;62012;www.quartzstar.com
ATLANTIC BOW (COMMUNICATIONS) LIMITED;EH41 4LW;03210;"03210
62020
74909
85590";www.atlanticbow.co.uk
AGAMIK LIMITED;EH48 4NW;62012;62012;www.agamik.co.uk
INTERACTIVE INFORMATION LIMITED;EH3 9HH;63110;"62012
62020
63110";www.interactive.co.uk
C S CONSULTANTS (SCOTLAND) LIMITED;EH45 8AT;62012;"62012
62020";
R.A.S. SOLUTIONS LIMITED;EH21 7TR;62020;62020;
3E EUROPE LIMITED;EH2 3JG;62012;62012;www.3e.co.uk
THE SYSTEMS SOLUTIONS CONSULTANCY LIMITED;EH21 7DD;62020;"62011
62020
62030";www.syssols.com
VERTRON LIMITED;EH54 9HU;62012;"62012
62020
74909";
JP & G COMPUTING LIMITED;EH19 3FB;62020;62020;
CLAYTARA LIMITED;EH7 5HT;90030;"62020
90030";
DUNEDIN MULTIMEDIA LIMITED;EH10 5AQ;62012;62012;www.dunedinmultimedia.com
CAST CONSULTANCY LIMITED;EH3 6AJ;62012;"58110
62012";
ALLANBRIDGE.COM LIMITED;EH4 3LF;62020;"62020
62090";www.allanbridge.com
ESTEK LIMITED;EH1 3QB;62012;62012;www.estek.co.uk
NEVIS SYSTEMS LIMITED;EH6 7BD;62090;"61200
62020
62090";www.nevissystems.co.uk
SYSTEM WISE LIMITED;EH12 5TS;62020;62020;www.systemwise.co.uk
INFORMATION BROWSER LIMITED;EH46 7HY;62012;"62012
72200";
ARCAS COMPUTING LIMITED;EH12 7HJ;62020;62020;www.arcas.co.uk
REACT2 LTD;EH45 8LS;62012;62012;www.react2.com
MILLERSOFT LIMITED;EH21 7PB;62020;62020;www.millersoft.eu
D.M.H. LETTINGS LTD;EH17 7PR;55900;"55900
62020";
PRO DBA LIMITED;EH2 1DF;62020;62020;
6S LIMITED;EH3 8HE;62090;"62020
62090";
LOUDON LEGGE ASSOCIATES LIMITED;EH22 3NX;62020;62020;
ABACUSNEXT INTERNATIONAL LIMITED;EH3 8HA;62012;62012;www.abacusnext.com
ZEUS DATA LIMITED;EH10 5SY;62020;62020;
ECOSSETECH LIMITED;EH39 4AW;62020;62020;
BYRNE CONSULTANCY LIMITED;EH30 9LE;62020;62020;www.byrne-consultancy.co.uk
MORNINGSIDE LIGHT LIMITED;EH3 6AD;62020;62020;www.morninglight.co.uk
SUMDOG LTD;EH2 4PF;58290;58290;www.crocodile-clips.com
COMPANY NET LIMITED;EH2 4JS;62020;62020;www.company-net.com
KM COMPUTER CONSULTANTS LIMITED;EH14 1AZ;62020;62020;
MAPIX TECHNOLOGIES LTD.;EH6 5QN;62012;"62012
74909";www.mapix.com
DELCAS LIMITED;EH22 2RB;62020;"62020
62090
63990";
GRAMARY I.T. CONSULTANCY LIMITED;EH12 6LU;62020;62020;www.gramary.co.uk
ANDERSON INTERNATIONAL LIMITED;EH9 1SE;62020;62020;www.anderson-int.com
CAPDM LIMITED;EH1 3LH;62020;"62020
63990
85600";www.capdm.com
THISTLE BUSINESS CHANGE CONSULTANTS LIMITED;EH10 5EP;62020;62020;
ACX SOFTWARE LIMITED;EH46 7HE;62020;62020;www.acxsoftware.co.uk
