Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
THE MOUNT STUART TRUST;EH3 8EJ;02100;"02100
68209
85520
91030";www.mountstuart.com
CENTRE FOR THE MOVING IMAGE;EH3 9BZ;59140;"59140
85520";www.filmhousecinema.com
SCOTTISH BOOK TRUST;EH1 1SR;85520;85520;www.scottishbooktrust.com
TRAVERSE THEATRE (SCOTLAND) LIMITED;EH1 2ED;90030;"85520
90010
90020
90030";www.traverse.co.uk
THE JUPITER ARTLAND COMPANY LIMITED;EH27 8BB;85520;85520;www.jupiterartland.com
ARCHAEOLOGY SCOTLAND;EH21 7PB;85520;85520;www.archaeologyscotland.org.uk
STARCATCHERS PRODUCTIONS LIMITED;EH9 1PL;90010;"85520
90010
90020";www.starcatchers.org.uk
SCOTTISH LANGUAGE DICTIONARIES LIMITED;EH3 7AL;85520;85520;https://dsl.ac.uk
MEDIA EDUCATION CIC;EH11 2EB;59112;"59112
85520";
SCOTS MUSIC GROUP;EH10 4DP;85520;"85520
90020";www.scotsmusic.org
TAKE ONE ACTION FILM FESTIVALS;EH6 8RG;85520;85520;www.takeoneaction.org.uk
THE TRADITIONAL MUSIC AND SONG ASSOCIATION OF SCOTLAND;EH14 1JL;85520;"85520
90010
90020
94990";www.tmsa.scot
THE BOHEMIANS LYRIC OPERA COMPANY;EH6 6RR;85520;85520;www.bohemians.org.uk
AMOLINGUA LIMITED;EH3 8JB;85520;"85520
85600";
CYAN CLAYWORKS CIC;EH7 4JE;85520;"85520
90030
90040";www.cyanclayworks.co.uk
MIDLOTHIAN SCIENCE FESTIVAL;EH9 3BF;74909;"74909
85520
91011";www.midlothiansciencefestival.com
NATIONAL LIBRARY OF SCOTLAND FOUNDATION;EH3 9EE;85520;"85520
85600";www.nls.uk
THE SCOTTISH GOLDSMITHS TRUST;EH1 3RH;85520;"85520
90030";www.incorporationofgoldsmiths.org
LOCAL VOICES COMMUNITY INTEREST COMPANY;EH33 1LR;85520;"85520
91012";
CZECH SCHOOL SCOTLAND CIC;EH12 5UL;85100;"85100
85200
85520
85590";
EDINBURGH CHINESE SCHOOL;EH7 4BS;85520;"85200
85520
85590";www.eccsonline.com
IGBOAMAKA, EDINBURGH COMMUNITY INTEREST COMPANY;EH21 8PQ;85520;"85520
85590
88990";
THE STATE (LEITH) C.I.C.;EH6 6RB;85520;85520;
BROADLEAF COMMUNITY MEDIA DEVELOPMENT C.I.C.;EH54 6BU;59112;"59112
59120
85520";
RHET LOTHIAN;EH41 4HR;85520;85520;
LINK COMMUNITY DEVELOPMENT SCOTLAND;EH1 1QW;85200;"85200
85520
85590";www.lcdinternational.org
