Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
RMJM SCOTLAND LIMITED;EH1 2EG;71111;71111;www.rmjm.com
JMARCHITECTS LIMITED;EH2 4NA;71111;71111;www.jmarchitects.net
JMARCHITECTS HOLDINGS LIMITED;EH2 4NA;71111;71111;www.jmarchitechts.net
IRONSIDE FARRAR LIMITED;EH7 4NW;71112;71112;www.ironsidefarrar.com
OPTIMISED ENVIRONMENTS LIMITED;EH3 9GL;71112;71112;www.optimisedenvironments.com
EDINBURGH WORLD HERITAGE TRUST;EH8 8DD;71111;"71111
85590";www.ewht.org.uk
GIBBON LAWSON MCKEE LTD.;EH3 8JB;41100;"41100
71111";www.weareglm.com
OPTIMISED ENVIRONMENTS (MANCHESTER) LIMITED;EH3 9GL;71112;71112;www.optimisedenvironments.com
R.I.A.S. SERVICES LIMITED;EH1 2BE;71111;71111;www.rias.org.uk
URBAN CREATURES LTD;EH4 6DN;71111;71111;www.urbancreatures.co.uk
PROSPUS GROUP LTD;EH2 3JZ;71111;71111;
MAC CONSULTING (SCOTLAND) LIMITED;EH9 2AN;42990;"42990
71112";
MARCHITECTS LIMITED;EH21 6QG;71111;71111;www.marchitectsltd.com
FLEMING WOELFELL IMAGING LIMITED;EH2 2PR;71111;71111;www.flemingwoelfell.co.uk
GBA - DESIGN AND CPM LTD;EH48 2SG;71111;71111;
A C M E Design;EH11 2JW;71111;71111;
Ogilvy Chalmers;EH41 3EF;71111;"71111
71129";www.ogilvychalmers.com
Archie Macalister;EH12 6HS;71111;71111;www.archiemacalister.co.uk
Assist Design;EH6 6SB;71111;71111;www.assistdesign.co.uk
Benjamin Tindall Architects;EH1 2JL;71111;"71111
71121";www.benjamintindallarchitects.co.uk
Burgess Adams Architects;EH9 1EG;71111;71111;www.burgessadams.com
B P A Architecture;EH6 6EU;71111;71111;www.bpa-architecture.co.uk
Camerons Architects;EH6 6QU;71111;"71111
74909";www.camerons.ltd.uk
C L W G Architects;EH4 1ED;71111;71111;www.clwg-architects.com
Derek Scott Planning;EH12 5EH;71112;71112;www.derekscottplanning.com
Donald Millar Architecture;EH9 2JT;71111;71111;www.donaldmillararchitecture.co.uk
Architectural Design Services;EH51 9TU;71111;71111;
