Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
THE ROYAL LYCEUM THEATRE COMPANY LIMITED;EH3 9AX;90030;90030;www.lyceum.org.uk
TRAVERSE THEATRE (SCOTLAND) LIMITED;EH1 2ED;90030;"85520
90010
90020
90030";www.traverse.co.uk
EDINBURGH INTERNATIONAL JAZZ AND BLUES FESTIVAL LIMITED;EH6 6BZ;90030;90030;www.edinburghjazzfestival.com
MILLARWORLD LIMITED;EH3 8HA;58190;"58190
90030";
FAS EDINBURGH LTD;EH3 6HZ;47781;"47781
47791
74909";www.fasedinburgh.com
CHEEK BY JOWL THEATRE COMPANY LIMITED;EH3 6AQ;90030;90030;www.cheekbyjowl.com
ARTLINK EDINBURGH AND THE LOTHIANS;EH3 9DY;90030;90030;www.artlinkedinburgh.co.uk
DOVECOT STUDIOS LIMITED;EH1 1LT;13200;"13200
13939
90030
90040";www.dovecotstudios.com
CRAFT SCOTLAND;EH3 9FN;90030;90030;www.craftscotland.org
CATHERINE WHEELS THEATRE COMPANY LIMITED;EH21 6AF;90030;"90010
90030";www.catherinewheels.co.uk
THE GRID IRON THEATRE COMPANY LIMITED;EH1 2BB;90030;90030;www.gridiron.org.uk
STRANGE TOWN;EH6 8RG;90030;90030;www.strangetown.org.uk
LIVE MUSIC NOW SCOTLAND;EH4 1QA;90010;"90010
90030";www.livemusicnow.org.uk
LOVE MUSIC PRODUCTIONS LTD;EH9 1ES;90030;90030;www.lovemusic.org.uk
ASSEMBLY THEATRE LIMITED;EH8 9SU;90030;90030;www.assemblyfestival.com
LYCEUM THEATRE TRADING LIMITED;EH3 9AX;56101;"56101
56302
90030";http://lyceum.org.uk
HEBRIDES ENSEMBLE;EH1 1DD;90030;90030;www.hebridesensemble.com
SOLAS FESTIVAL;EH12 5HA;90030;90030;www.solasfestival.co.uk
EDINBURGH WORLD CITY OF LITERATURE TRUST;EH1 1SR;90030;90030;www.cityofliterature.com
BARON COURTS OF PRESTOUNGRANGE & DOLPHINSTOUN LIMITED;EH32 9BE;90030;90030;www.prestoungrange.org
PIANODROME COMMUNITY INTEREST COMPANY;EH6 6LH;90010;"90010
90030
90040";
THE ATELIER GALLERY LIMITED;EH3 5LB;47781;47781;
THE ROYAL EDINBURGH MILITARY TATTOO (INTERNATIONAL) LIMITED;EH1 1QB;90030;"90020
90030";www.edintattoo.co.uk
KRAZY KAT THEATRE COMPANY;EH12 5BB;90030;90030;www.krazykattheatre.co.uk
NEW TOWN CONCERTS SOCIETY LIMITED;EH3 8UL;90030;90030;
BOTHY PROJECT;EH1 2BB;55900;"55900
90030";www.thebothyproject.org
EDINBURGH OLD TOWN DEVELOPMENT TRUST;EH1 2PW;96090;"58190
90030
96090";www.eotdt.org
PUPPET STATE THEATRE COMPANY LTD;EH13 0DU;90030;"90010
90030";www.puppetstate.com
CYAN CLAYWORKS CIC;EH7 4JE;85520;"85520
90030
90040";www.cyanclayworks.co.uk
JUST FESTIVALS;EH2 4BJ;90030;"90030
90040";www.justjust.org
CUTTING EDGE THEATRE LTD.;EH7 5QX;90030;90030;www.cuttingedgetheatre.co.uk
NEW MEDIA SCOTLAND;EH1 2LE;90030;"90030
90040";www.mediascot.org
SANDRA VICK LIMITED;EH26 8JF;90030;90030;
ART WALK PROJECTS CIC;EH15 1DU;90030;90030;
BLANK SCRIPT LIMITED;EH32 0NF;90010;"90010
90030";
BADAC THEATRE COMPANY LIMITED;EH1 2BB;90030;"90010
90030";www.badactheatre.com
THE SCOTTISH GOLDSMITHS TRUST;EH1 3RH;85520;"85520
90030";www.incorporationofgoldsmiths.org
DERMAL GRAPHICS LTD;EH14 5DE;90030;90030;
QUILT ART;EH3 9GL;90030;90030;www.quiltart.eu
VILLAGE PUB THEATRE LTD;EH6 5RL;90010;"90010
90030";
AFRICAN CONNECTIONS CIC;EH12 7XR;90010;"90010
90020
90030
90040";
THEATRE OBJEKTIV LIMITED;EH3 6AT;90010;"90010
90020
90030";www.theatreobjektiv.co.uk
KIRAN'S TRUST;EH49 7NR;90030;"90030
93199";www.kiranstrust.org
LAUREN SARAH MILLER ART LIMITED;EH24 9DX;90030;90030;
EDINBURGH FORGE CIC;EH9 2HB;85590;"85590
90030
90040";
GREENWORKS (SCOTLAND) LIMITED;EH6 8DF;16290;"16290
90030";
BA SUPPORT LIMITED;EH3 6PD;70229;"70229
73200
90030";
DOCUMENT SCOTLAND;EH10 4NA;90030;90030;
HIDDEN HADDINGTON LTD;EH41 3ER;47789;"47789
79120
90030";
NORTH LIGHT ARTS CIC;EH42 1SB;90030;90030;
Bannerman's Bar;EH1 1NQ;56302;"56302
90030";www.bannermanspub.co.uk
Bil Fulton Architectural Illustrator;EH39 5AW;82990;"82990
90030";www.bilfulton.com
Brass Monkey;EH8 9TU;56302;"56302
90030";
Christian Shaw Stained Glass;EH11 2DP;90030;90030;
Colin Robertson;EH22 2QE;90030;90030;www.colinrobertsonartist.com
Edinburgh Stained Glass House;EH10 5JQ;90030;90030;
Dr F W Freeman - Scottish Lectures;EH53 0TA;90030;"85590
90030";
Fish;EH41 3SU;90030;90030;www.fishheadsclub.com
Happy Gang;EH9 1JT;90030;90030;
Jean Murray Classical Music;EH3 7PR;90030;90030;www.jmclassicalmusic.com
Leitheatre;EH7 5RA;90030;90030;www.leitheatre.com
P Merlin Entertainments;EH47 8NQ;90030;90030;www.petermerlin.co.uk
Reel Good Music Agency;EH20 9BQ;90030;"90030
96090";www.reelgoodmusic.com
Scott Lovat;EH30 9PL;90030;90030;
The Stand Comedy Club;EH1 3EB;90030;90030;www.thestand.co.uk
Stewart Wilson Saxophonist;EH54 8HR;90030;"90030
96090";
Whirlie Records;EH1 3RX;90030;90030;www.whirlierecords.co.uk
Alison J Brown;EH5 3DZ;90030;90030;
Shoogles Events;EH54 8DL;90030;90030;www.shooglesevents.co.uk
Chrissie Heughan Paper;EH6 4JT;90030;90030;www.chrissieheughan.com
Sheena Phillips;EH41 4LZ;90030;90030;www.sheenaphillips.co.uk
Wasps Artists Studios;EH7 5QZ;90030;90030;
Magician Raymondo Bongo;EH48 3RA;90030;90030;
Storyteller Scotland;EH3 6QQ;90030;90030;www.davidcampbellstoryteller.com
Gardner Molloy Stone Carving;EH32 0HL;23700;"23700
90030";www.gardnermolloy.co.uk
Annie D Body Art;EH15 1AH;90030;90030;www.edinburghfacepainter.com
Schoolhouse Management;EH1 3HU;90030;90030;www.schoolhousemanagement.co.uk
Kiln & Cutter Stained Glass Studio;EH39 5BW;90030;90030;www.stainglassscotland.com
Gilded Balloon;EH6 6JA;90030;90030;www.gildedballoon.co.uk
Buro Art;EH6 5HG;90040;"90030
90040";www.buroart.co.uk
Graham Riddell Photography;EH44 6QQ;74209;"74209
90030";www.grahamriddellphotography.co.uk
The Magic Max Show;EH22 5AA;90030;90030;magicmax.co.uk
Ritchie Collins Gallery;EH6 6ED;90040;"90030
90040";www.ritchiecollinsgallery.co.uk
Popeyes Bouncy Castles;EH54 8FB;93290;"90030
93290";www.popeyesbouncycastles.com
Or Ceilidh Band;EH11 1LN;90030;"90030
96090";www.orscotland.com
The Blackjacks;EH13 0QF;90030;90030;www.theblackjacks.co.uk
Kerr Martin Songwriting & Production;EH51 9SZ;90030;90030;
Gary James Magician;EH4 2QN;90030;90030;www.stonethecrow.co.uk
W D & F Hendry;EH19 2HB;96090;"90030
96090";www.weddingorganist.com
Flotsam & Jetsam;EH16 5JR;90030;90030;www.flotsamandjetsam.co.uk
Ceilidh Experience;EH9 2DF;90030;90030;www.ceilidhexperience.com
Stiven Christie Management;EH3 9JD;90030;90030;
Edinburgh Palette;EH7 6AE;90040;"90030
90040";www.edinburghpalette.co.uk
Sheila Maclean Art;EH5 2PU;90030;"47599
90030";www.sheilamaclean.co.uk
Cool Reception;EH35 5LL;96090;"90030
96090";www.coolreception.com
Clarsach Society;EH6 8RG;90030;"88990
90030";www.clarsachsociety.co.uk
Freak Music;EH2 1EA;93290;"90030
93290";www.freakmusic.co.uk
Piper for All Occasions;EH4 7QE;90030;90030;
Cameron Taylor;EH3 6QQ;90030;"14390
90030";www.cameron-taylor.com
Gordon's Magic & Puppets;EH8 8JD;90030;90030;www.gordonsmagicandpuppets.co.uk
Hen Party Edinburgh;EH2 4AS;90030;"90030
96090";www.hen-party-edinburgh.co.uk
Bellydancingbarbie;EH3 9AF;85590;"85590
90030";www.bellydancingbarbie.com
Stellar Quines Theatre Company;EH3 9AX;90030;"88990
90030";www.stellarquines.com
Roddy Piper;EH11 1PP;90030;90030;www.roddythepiper.com
Snopeak Events;EH54 6HE;93290;"90030
93290";www.snopeak.com
Sporrandipity-ceilidhs With Attitude;EH14 7HU;90030;90030;
Rear View Music;EH12 5QF;85590;"85590
90030";www.rearviewmusic.co.uk
Edinburgh Art Glass;EH6 4ER;90030;90030;www.edinburghartglass.co.uk
Monkey Music - Edinburgh South;EH10 5AG;85590;"85590
90030";www.monkeymusic.co.uk/area/morningside-pentland
Potter Around;EH27 8DD;23490;"23490
90030";www.potteraround.co.uk
Louise Kosman;EH9 2BD;90030;90030;www.louisekosman.com
Lamp House Music;EH41 3PP;85590;"85590
90030";www.lamphousemusic.co.uk
Magician Grant Mitchell;EH12 6XL;90030;90030;www.grantmitchell.co.uk
Northern Star;EH47 8PG;90030;90030;www.northernstar.co.uk
Damo & Marvo the Family Entertainers;EH41 3QS;90030;90030;www.damoandmarvo.co.uk
The Edinburgh Fun Casino Company;EH6 6BU;90030;90030;www.edinburghfuncasinos.com
Star-ickle Face Painting;EH32 9AT;90030;90030;www.star-ickle.weebly.com
Stina Sparkles;EH54 5LG;90030;90030;www.stinasparkles.net
