Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
HAMILTON & INCHES HOLDINGS LIMITED;EH2 4DF;82990;"32120
82990
95250";www.hamiltonandinches.com
HAMILTON & INCHES LIMITED;EH2 4DF;32120;"32120
47770";www.hamiltonandinches.com
MCTAVISH, RAMSAY & COMPANY LIMITED;EH1 2EG;16290;16290;www.mctavish-ramsay.com
THOMAS JUSTICE & SONS LIMITED;EH1 0BR;31090;"31010
31090";
FAS EDINBURGH LTD;EH3 6HZ;47781;"47781
47791
74909";www.fasedinburgh.com
HOLSTER (SCOTLAND) LTD;EH4 7EY;13921;"13921
31010
31090";
EDIWOOD CABINET MAKERS LTD;EH22 2FL;31010;"31010
31020
31090";
DECADES OF STUFF LIMITED;EH39 5BF;47791;"47791
47799";
BE UPHOLSTERED LTD;EH21 8HN;31010;"31010
31090";
GREENWORKS (SCOTLAND) LIMITED;EH6 8DF;16290;"16290
90030";
The Adam Pottery;EH3 5BJ;23490;23490;www.adampottery.co.uk
Patrick Buckley Antiques;EH9 1PN;47791;"47791
96090";www.patrickbuckleyantiques.co.uk
Be Seated;EH6 4AF;95240;95240;www.beseated.co.uk
Birte Andersen;EH3 5AJ;32120;"32120
47770";
Brian Kelly;EH10 6AB;95240;95240;
Castle Cottage Interiors;EH39 4BS;95240;"43999
95240";www.castlecottage.net
Christopher Howard;EH31 2AN;31090;"31090
47599";www.christopherhoward.com
Clarke's Upholstery Services;EH14 2AB;95240;95240;
Clarksons Edinburgh;EH1 2JP;47770;"32120
47770";www.clarksonsedinburgh.co.uk
David Grandison;EH19 3LW;95240;95240;
Duncan & Reid;EH3 5DA;47791;47791;
Dunnydeer Studio;EH45 8AL;23490;23490;
Early Technology;EH21 8SF;47791;"47791
47799";www.earlytech.com
Gems Jewellers;EH52 5RQ;47770;"32120
47770";
Georgian Antiques;EH6 7HF;47791;47791;www.georgianantiques.net
Goodwins Antiques;EH2 4QW;47770;"32120
47770";www.goodwinsantiques.com
Gullane Antiques;EH31 2AN;47791;47791;
J & J Hardie Antiques;EH6 4JY;95240;95240;www.jandjhardieantiquesedinburgh.co.uk
Harlequin Antiques;EH10 4HJ;47791;"47791
96090";
Houseproud Upholsterers;EH32 0DG;95240;95240;
Martinez Antiques;EH3 5DZ;47791;47791;www.martinezantiques.com
James Scott;EH3 6QQ;47791;47791;
Just Chairs;EH7 5RA;95240;95240;www.just-chairs.co.uk
Keepsakes;EH44 6HF;47910;"47791
47910";www.keepsakesantiques.co.uk
Kirkbrae Upholstery;EH16 6JJ;95240;95240;
L'argenette Jewellery;EH39 4HH;32120;"32120
82990";
McDonald Greene;EH10 4DG;32120;32120;www.mcdonaldgreene.co.uk
The Meadows Pottery;EH9 1QE;23490;23490;www.themeadowspottery.com
Royal Mile Curios;EH1 1PW;47770;"47770
47791";
S Anderson French Polishers;EH12 7DB;95240;95240;
Just Chairs;EH3 5LT;47791;"47791
95240";www.just-chairs.co.uk
Trinity Curios;EH6 4SJ;32120;32120;trinitycurios.co.uk
Unicorn Antiques;EH3 6RS;47791;47791;
Woodworks;EH45 8AL;16290;"16290
96090";
Young Antiques;EH10 4HN;47791;47791;
Aquarius;EH3 9DY;47791;47791;
Struthers & Newton Upholstery;EH49 6LD;95240;95240;
Laidlaw Contracts;EH10 4BD;31010;"31010
95240";www.laidlawcontracts.co.uk
Macdonald Armouries;EH7 5JA;47791;47791;www.macdonaldarms.com/armoury
R M Upholstery;EH16 4BB;95240;95240;www.rmupholsterymidlothian.co.uk
Sea Kist;EH30 9HN;47791;47791;www.seakist.co.uk
Cabaret Antiques Curios;EH3 9DP;47791;47791;
P F Walker Upholstery;EH4 1LQ;95240;95240;www.pfwalkerupholstery.com
