Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
ENDURA LTD.;EH54 8SF;14190;14190;www.endurasport.com
SANQUHAR TILE SERVICES LIMITED;EH3 8HA;13939;13939;www.sanquhartilesltd.co.uk
AFG MEDIA LTD;EH8 8PJ;14190;14190;www.morphsuits.co.uk
DAWSON INTERNATIONAL TRADING LIMITED;EH1 2EG;14390;14390;www.dawson-international.co.uk
WHITESPACE (SCOTLAND) LIMITED;EH1 2EU;74100;74100;https://whitespacers.com
DOVECOT STUDIOS LIMITED;EH1 1LT;13200;"13200
13939
90030
90040";www.dovecotstudios.com
INNOV8 RENOVATIONS LTD.;EH3 9DQ;43320;"43320
74100";
HOLSTER (SCOTLAND) LTD;EH4 7EY;13921;"13921
31010
31090";
THE GRAPHICS COMPANY LTD.;EH8 9SQ;74100;74100;www.graphics.coop
WEBSTAR GAMES LTD;EH22 1RZ;47650;"47650
74100";
MACPHERSON (SCOTLAND) LIMITED;EH12 5EB;14190;14190;www.kiltmakingscotland.co.uk
LOGAN & LOGAN LTD;EH3 6RE;74100;74100;
DAMEL BEAUTY LTD;EH16 4LX;14132;14132;
FAIR FANTOOSH LTD;EH51 0AQ;14131;"14131
14132";
MAGIC MOON CANDLE COMPANY LTD;EH32 0TP;13923;13923;
THE EAST AFRICA SISAL COMPANY LTD;EH25 9RE;13100;"13100
13960";
RISSIE LTD;EH13 9AX;15120;"15120
47722";
SPLINT DESIGN LTD.;EH3 9DQ;74100;74100;www.splintdesign.com
BOBBY GORDON KILTMAKERS LTD.;EH41 3SP;14131;14131;www.bobbygordonkiltmakers.com
SPALATHOS LTD.;EH41 3PX;45112;"45112
74100";
Inveresk;EH21 7UQ;74100;"31010
74100";www.inveresk-supplies.co.uk
Better Hearing Scotia;EH7 5PL;30920;"14120
30920";
The Feather Co;EH10 4SU;13923;13923;www.thefeathercompany.com
Gleneagles of Scotland;EH1 1BQ;13910;13910;www.ewm.co.uk
H Rennie;EH10 4BZ;14132;14132;
Italian Style;EH3 9LJ;14132;14132;
R & J Keddie;EH43 6AU;13100;13100;
Margaret a King;EH10 4QT;47770;"47770
74100";www.margaretaking.com
McDougall Irela;EH5 3QS;14132;14132;
Pins & Needles;EH3 9NB;14132;"14132
47789";www.pins-needles.net
Print Design Promotion;EH6 4PA;13990;"13990
47710";www.fantastic-scotland.com
Brown & Out;EH45 9ED;13300;13300;www.brownandout.co.uk
Scottish Designer Knitwear;EH1 2QE;47710;"13100
47710";www.joyceforsyth.co.uk
Sewing Room;EH47 0QF;47710;"13923
47710";
Signage Sign Makers;EH9 1QN;13923;"13923
31010";www.signageedinburgh.co.uk
Lynn Tindale Designer Jewellery;EH45 8AL;74100;"47770
74100";www.lynntindale.com
Direct Gardens;EH18 1AZ;74100;"74100
81300";
Kearse & Boys;EH43 6BE;14390;14390;
Tom Cooper Fine Furniture;EH22 3LJ;74100;74100;www.tcfinefurniture.co.uk
Kim Johnston Dressmaking;EH15 2AY;14132;"14132
96010";www.kimsdressmaking.co.uk
John Richards Landscape Architects;EH11 2RZ;74100;"70229
74100";www.johnrichardslandscapearchitects.co.uk
