Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
CAPITAL THEATRES;EH8 9FT;90040;90040;www.capitaltheatres.com
THE ROYAL EDINBURGH MILITARY TATTOO LIMITED;EH1 1QB;90010;90010;www.edintattoo.co.uk
EDINBURGH INTERNATIONAL FESTIVAL SOCIETY;EH1 2NE;90020;90020;www.edinburghartfestival.com
EDINBURGH TATTOO PRODUCTIONS LIMITED;EH1 1QB;90020;90020;www.edintattoo.co.uk
EDINBURGH FESTIVAL FRINGE SOCIETY LIMITED;EH1 1QS;90020;"90020
90040";www.edfringe.com
MARCO'S LEISURE LIMITED;EH14 1RJ;93110;"56302
90010
93110
93290";www.edinburghcornexchange.com
EDINBURGH PRINTMAKERS LIMITED;EH3 9FP;90040;90040;www.edinburghprintmakers.co.uk
SCOTTISH CHAMBER ORCHESTRA LIMITED;EH7 5AB;90010;90010;www.sco.org.uk
THE EDINBURGH INTERNATIONAL BOOK FESTIVAL LIMITED;EH2 4DR;90040;90040;www.edbookfest.co.uk
INTERNATIONAL MUSIC AND PERFORMING ARTS CHARITABLE TRUST SCOTLAND;EH3 9EE;90040;90040;www.impactscotland.org.uk
TRAVERSE THEATRE (SCOTLAND) LIMITED;EH1 2ED;90030;"85520
90010
90020
90030";www.traverse.co.uk
NGS TRADING COMPANY LIMITED;EH4 3DS;90040;"47789
90040";
THE FRUITMARKET GALLERY;EH1 1DF;90040;90040;www.fruitmarket.co.uk
CAPITAL THEATRES TRADING LIMITED;EH8 9FT;90020;90020;www.edtheatres.com
QUEEN'S HALL (EDINBURGH) LIMITED (THE);EH8 9JG;90040;90040;www.thequeenshall.net
ALHAMBRA THEATRE TRUST;EH4 3BL;90040;90040;
OUT OF THE BLUE ARTS & EDUCATION TRUST;EH6 8RG;90040;90040;www.outoftheblue.org.uk
DANCE BASE LIMITED;EH1 2JU;90020;90020;www.dancebase.co.uk
IMAGINATE;EH3 9AX;90010;90010;www.imaginate.org.uk
THE ROYAL SCOTTISH COUNTRY DANCE SOCIETY;EH3 7AF;90020;90020;www.rscds.org
LEITH THEATRE TRUST;EH6 4AE;90040;90040;www.leiththeatretrust.org
DUNEDIN CONCERTS TRUST LIMITED;EH3 9EE;90010;90010;www.dunedin-consort.org.uk
ARTS & BUSINESS SCOTLAND;EH12 5EZ;63990;"63990
82990
90020
94990";www.aandbscotland.org.uk
NORTH EDINBURGH ARTS;EH4 4TZ;90040;90040;www.northedinburgharts.co.uk
EDINBURGH ART FESTIVAL;EH1 2BB;90020;90020;www.edinburghartfestival.com
EASTGATE THEATRE (PEEBLES) LIMITED;EH45 8AD;90040;90040;www.eastgatearts.com
STARCATCHERS PRODUCTIONS LIMITED;EH9 1PL;90010;"85520
90010
90020";www.starcatchers.org.uk
DOVECOT STUDIOS LIMITED;EH1 1LT;13200;"13200
13939
90030
90040";www.dovecotstudios.com
ARTISTS COLLECTIVE GALLERY LIMITED, THE;EH7 5AA;90040;90040;www.collectivegallery.net
DRAKE MUSIC SCOTLAND;EH16 4NT;90010;"90010
90020";www.drakemusicscotland.org
THE BONGO CLUB LIMITED;EH1 1JX;90010;90010;www.thebongoclub.co.uk
CATHERINE WHEELS THEATRE COMPANY LIMITED;EH21 6AF;90030;"90010
90030";www.catherinewheels.co.uk
EDINBURGH SCULPTURE WORKSHOP LIMITED;EH6 4JT;90040;90040;https://edinburghsculpture.org
RED NOTE ENSEMBLE LTD;EH9 1PL;90010;90010;www.rednoteensemble.com
THE LAMP OF LOTHIAN TRUST;EH41 4DA;90040;90040;www.lampoflothian.org.uk
PUBLIC IMAGE COMMUNICATION LIMITED;EH12 5JR;90020;90020;www.pi-communications.co.uk
WHALE, THE ARTS AGENCY;EH14 2SA;90040;90040;www.whalearts.co.uk
LIVE MUSIC NOW SCOTLAND;EH4 1QA;90010;"90010
90030";www.livemusicnow.org.uk
