Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
THE NIFTY HARP PROJECT C.I.C.;EH45 8NU;32200;32200;
TRANSDATA INTERNATIONAL LTD.;EH52 6WF;59200;"59200
70229";www.transdata-inter.co.uk
MUSIC FILES LTD;EH6 7BD;59200;59200;www.mfiles.co.uk
BLACK GOBLIN AUDIO LTD;EH7 5AJ;58290;"58290
59120
59200";
D Smyth Musical Instrument Maintenance & Repair;EH8 7DZ;32200;32200;www.smyth-clulow.co.uk
Fiona E Gilroy Mpta;EH14 7HE;32200;32200;
Garvie Bagpipes;EH37 5SQ;32200;32200;www.borderpipes.co.uk
Live Music;EH8 9JP;47591;"32200
47591";www.livemusicshop.co.uk
Macmurchie Bagpipe Makers;EH55 8EJ;32200;32200;www.macmurchiebagpipes.co.uk
Marius Alexander Photography;EH11 2DP;74209;"59200
74209";
Mark Norris Harps;EH45 8NU;32200;32200;www.norrisharps.com
Rikkis Music Shop;EH6 5DT;47591;"32200
47591";www.scottishfolkmusic.co.uk
W M Sinclair & Son;EH6 4AJ;32200;32200;www.sinclair-bagpipes.co.uk
Wilson & Son;EH21 8QJ;32200;32200;
S J Lynch Pianos;EH9 2PQ;32200;"32200
47591";
Bagpipes Galore;EH8 9DH;32200;"32200
47591";www.bagpipe.co.uk
Steve Burnett Piano Tuner & Violin Maker;EH11 2DP;32200;32200;www.burnettviolins.co.uk
Julie Bell;EH22 2EN;32200;32200;www.keypianocare.co.uk
Neil Kristof Ertz Violin Maker;EH16 6SZ;32200;32200;www.ertz-violins.com
Queensferry Pianos;EH30 9TF;47591;"32200
47591";www.queensferrypianos.co.uk
Gordon Stevenson Violins;EH10 4HP;47591;"32200
47591";
Piano Doctor;EH38 5YE;32200;32200;www.pianodoctorscotland.com
Andrew Queen Piano Tuning & Repairs;EH14 2DS;32200;32200;
Tonetalk;EH6 5BH;59200;59200;www.tonetalk.co.uk
A J Edmondson;EH14 5PJ;32200;32200;
Neil McWilliam Violins;EH12 5LA;32200;32200;www.neilmcwilliamviolins.com
Speakinglives;EH6 6QH;59200;59200;www.speakinglives.com
McIntyre Guitars;EH7 5QZ;32200;32200;www.mcintyreguitars.com
Instie;EH6 6HL;59200;59200;www.instie.co.uk
D C Music;EH47 0RB;47591;"32200
47591";
HOLYROOD RECORDING & FILM PRODUCTIONS LIMITED;EH11 1NJ;59200;59200;www.relrecords.com
AD-CHOREL MUSIC LIMITED;EH11 1NJ;59200;59200;www.relrecords.com
REL RECORDS LIMITED;EH3 7HF;18201;18201;www.relrecords.com
BONSKEID MUSIC LTD.;EH16 6YR;59200;59200;
BOB HEATLIE PRODUCTIONS LIMITED;EH3 5PP;59200;59200;
STREAMLINE MUSIC LIMITED;EH13 0HU;59200;59200;
KAVEL LTD;EH3 7HF;59200;59200;
WONDERLUST PRODUCTIONS LIMITED;EH3 7HF;18201;18201;
COLIN STEPHEN BROADCAST SERVICES LIMITED;EH29 9LA;59200;"59200
60100
90020
90040";www.csbs.tv
POSITIVE REWARDS LIMITED;EH5 3RN;86900;"58190
59200
85422
86900";www.positiverewards.com
GREENTRAX RECORDINGS LIMITED;EH32 0XL;59200;59200;www.greentrax.com
AAM ASSOCIATES LIMITED;EH14 1JX;70221;"59200
70221";
DELPHIAN RECORDS LTD.;EH21 8BZ;59200;59200;www.delphianrecords.co.uk
RED FACILITIES LIMITED;EH6 6QH;59120;"59120
59200";www.redfacilities.com
THE MUSIC KITCHEN LIMITED;EH13 0ET;59200;59200;www.themusickitchen.co.uk
VITARES LIMITED;EH10 5PQ;59112;"59112
59200
90010";
CIRCULAR RECORDS LIMITED;EH20 9SF;59200;59200;www.circular-records.com
BONA BROADCASTING LIMITED;EH6 4AA;59113;"59113
59200
60100
85590";www.bonabroadcasting.co.uk
ACHILTIBUIE HIGHLAND REEDS LTD.;EH27 8BL;32200;32200;
WHERE'S THE ONE? LTD.;EH7 4JE;59200;59200;
VIP RECORDS LIMITED;EH3 6AA;59200;59200;www.viprecords.co.uk
GAVIN BROWNE PUBLISHING LIMITED;EH12 7QU;59200;59200;
UJAZZ RECORDS LIMITED;EH12 6PA;59200;59200;www.isguitar.co.uk
DABSTER PRODUCTIONS LIMITED;EH9 1AN;59200;59200;www.dabsterproductions.com
CIRCULAR MUSIC LTD.;EH20 9SF;59200;59200;
THE DEPOT MUSIC LIMITED;EH12 8EA;18201;"18201
59200
68209";https://www.afternic.com
SONG, BY TOAD RECORDS LIMITED;EH6 7EY;59200;59200;
SANCTUS MEDIA LTD;EH51 0AP;59112;"59112
59200
62020
62090";www.sanctusmedia.com
SKOOGMUSIC LTD;EH7 5LH;32200;32200;www.skoogmusic.com
BLACK SUGAR MUSIC LIMITED;EH39 5BS;59200;59200;
TENEMENT RECORDS LIMITED;EH6 6RR;59200;59200;
