Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
PHOTOLOX LIMITED;EH3 9GL;74201;"74201
74202
74203";www.loxleycolour.com
NDI RECOGNITION SYSTEMS LIMITED;EH48 1TP;62090;"28990
62012
62090
74209";www.ndi-rs.com
D.H. PHOTOGRAPHY (SCOT) LTD;EH6 4DQ;96090;"74201
74202
74209
96090";
Alasdair Macfarlane Photography;EH45 9BF;74209;74209;
Antonia Reeve Photography;EH12 5JU;74209;74209;www.antoniareeve.co.uk
Dominic Twist Photography;EH14 5NZ;74209;74209;www.dominictwistphoto.com
Dougie Barnett Photography;EH16 4TE;74209;74209;
Douglas Robertson Photography;EH8 8JA;74209;74209;www.douglasinscotland.co.uk
Marius Alexander Photography;EH11 2DP;74209;"59200
74209";
Paul Bock Photography;EH6 4DD;74209;"59112
74209";www.paulbock.com
Paul Zanre Photography;EH26 0RE;74209;74209;www.pzphotography.com
The Ron Taylor Studio;EH21 6AR;74209;74209;www.rontaylorstudio.com
Southside Photography;EH45 8AT;74209;74209;www.southsidephotography.com
Yerbury Studio;EH47 0JY;74209;74209;www.yerburystudio.com
Bluetone;EH7 4JE;74209;74209;www.mrbluetone.com
Chris Christenson Photography;EH23 4XH;74209;74209;www.christensonphotographers.com
Chris Watt Photography;EH18 1AF;74209;74209;www.chriswatt.com
Harvey Wood Photography;EH46 7DZ;74209;74209;www.photoscotland.com
Still Print;EH1 3RL;74209;74209;
Alan Mccredie;EH6 8DF;74209;74209;alanmc.co.uk
Sarah Elizabeth Photography;EH20 9NX;74209;"74209
96090";www.sarahelizabeth.co.uk
White House Studios;EH10 6HT;74209;74209;www.whitehousestudios.co.uk
Locheil Photographics;EH26 8JF;74209;"74209
96090";
Steven Parry Donald Photography;EH11 2JG;74209;74209;www.spdphoto.co.uk
McColl Photography;EH8 9HZ;74209;74209;
Marc Millar Photography;EH15 2AJ;74209;"74209
96090";www.marcmillarphotography.com
Graham Riddell Photography;EH44 6QQ;74209;"74209
90030";www.grahamriddellphotography.co.uk
DONNA COWE PHOTOGRAPHY;EH40 3AE;74209;74209;
Roumen Kostov;EH12 7HH;74209;74209;
Saul Gardiner Photography;EH15 2PH;74209;74209;www.saulgardinerphotography.co.uk
Jose Vega-lozano;EH27 8DH;74209;"74209
96090";www.josevegalozano.co.uk
Tigerchick Web Design;EH26 9LW;62010;"62010
74209";www.tigerchick.com
Absolutely Fabulous Photography & Video;EH52 5RH;74209;74209;
Gary Baker Photography;EH52 6PS;74209;74209;www.gbphotography.com
Nick Callaghan Photography;EH41 4RU;74209;74209;www.nickcallaghan.com
The Studio;EH26 8AB;74209;74209;www.thestudiopenicuik.co.uk
Malishka Photography;EH14 1AU;96090;"74209
96090";www.malishkaphotography.com
Focus Wedding Photography;EH12 8BA;74209;"74209
96090";www.focusweddingphotography.co.uk
Stuart Pennykid Photography;EH6 5AN;74209;74209;www.pennykid.co.uk
Ewan Mathers - Photographer;EH2 2PR;74209;"74209
96090";www.ewanmathers-photography.com
A-fotografy;EH7 6AE;96090;"74209
96090";www.a-fotografy.co.uk
Hoskins Gallery;EH11 4PD;74209;74209;www.hoskinsgallery.com
Spence Photography;EH47 7AQ;74209;74209;www.spencephotography.co.uk
Photography Solutions 4 U;EH4 3RL;74209;74209;www.photographysolutions4u.com
Evolve Studios;EH6 5NX;74209;74209;www.evolvestudios.co.uk
John Gilchrist Photography;EH19 3QD;74209;74209;www.johngilchrist.com
Lesley Jones Photography;EH6 4BP;74209;74209;www.lesleyjones.co.uk
Dean Bricknell Wildlife Photography;EH48 2BP;74209;"74209
85590";www.deanbricknellphotography.com
Roslyn Gaunt Photography;EH7 6PT;96090;"74209
96090";www.roslyngauntphotography.co.uk
Studio;EH12 7HD;74209;"74209
96090";www.studiolifephotography.co.uk
Love Wedding Photos and Film;EH2 3JG;74209;74209;loveweddingphotosandfilm.co.uk
Rhoddy Stewart Photography;EH51 0AA;74209;"74209
96090";www.rhoddystewartphotography.co.uk
Chris Lomas Photography;EH6 6ET;74209;74209;www.chrislomasphotography.com
Kodak Express Edinburgh;EH8 9NZ;74209;"47789
74209";www.kodakexpressedinburgh.co.uk
Ivor Tetteh-lartey Photography;EH15 3RP;96090;"74209
96090";www.creativeweddingphoto.co.uk
Tete a Tete Foto;EH1 1NE;74209;74209;www.teteatetefoto.com
Fotkaplus Photography;EH2 3AH;74209;74209;www.fotkaplus.co.uk
E G M Designs;EH6 6AX;74209;74209;
Canvas Printmaker;EH48 2ST;74209;74209;www.canvasprintmaker.co.uk
Vanilla Moon Photography;EH45 8PA;74209;"74209
96090";www.vanillamoonphotography.com
J A Houston Photography;EH48 4GY;74209;74209;www.jahoustonphotography.co.uk
3 W M E;EH15 2BY;62010;"62010
74209";www.3wme.com
Andrew Weild Photography;EH46 7BD;96090;"74209
96090";www.andrewweild.com
Graysparks;EH30 9SW;74209;74209;www.graysparks.com
Orange Lemur;EH7 6AE;74209;74209;www.orangelemur.com
Before Ever After;EH1 2EL;74209;74209;www.beforeeverafter.com
Kezza;EH12 8GP;74209;74209;www.kezzaphotography.co.uk
Photo Archive;EH54 7BH;74209;74209;www.photo-archive.org.uk
Snapshot Online;EH54 6UJ;62090;"62090
74209";www.snapshot-online.co.uk
Ted Stewart Photography;EH41 3AH;74209;74209;www.tedstewartphotography.co.uk
Trudi Scrumptious Photography;EH28 8NQ;74209;74209;babyphotographeredinburgh.com
Photography by Jason Kimmings;EH48 2TR;74209;"74209
96090";www.photographyjk.co.uk
Andre Hudson Photography;EH16 4EG;74209;74209;
Click Photo Shop;EH10 5HX;74209;74209;
Emma Burgon Photography;EH10 4QX;74209;74209;www.emmaburgon.com
Robin Frowley Photography;EH3 8AF;96090;"74209
96090";www.robinfrowley.com
Catching the Moments Photography;EH9 1PB;96090;"74209
96090";www.catchingthemoments.com
Tamara Studios;EH6 6PR;74209;74209;www.tamarastudios.co.uk
Ivon Bartholomew Commercial Photography;EH3 6QH;74209;74209;www.ivonbartholomew.com
Studio 4 Images;EH15 3LA;74209;74209;www.studio4images.com
Iris Art Photography;EH11 1SE;74209;"74209
96090";www.irisartphotography.co.uk
Haworth Photography;EH6 8PB;74209;74209;
Fern Wedding Photography;EH8 9SD;96090;"74209
96090";www.fernphotography.co.uk
The Wee Album Co;EH6 5RQ;74209;74209;www.theweealbumcompany.com
Alfie Marsh Film & Photography;EH15 3PD;59112;"59112
74209";
Simon Nicholas White Photography;EH3 9EU;74209;74209;
Forth Print Studio;EH22 2FW;32990;"32990
74209";www.forthprintstudio.co.uk
Keith Kymoch-taylor;EH21 7EA;96090;"74209
96090";www.thependstudio.com
Crofts & Kowalczyk Photography;EH9 1PL;74209;74209;www.croandkowlove.com
The Sky Cam Edinburgh;EH16 5HQ;74209;74209;www.theskycam.co.uk
Xuido;EH1 1RW;74209;74209;
Chris Close Photography;EH3 6TD;74209;"74209
90040";www.chrisclose.com
Andrew Hale Photography;EH9 2EZ;74209;"74209
96090";www.andrew-hale.com
She Photography;EH54 8PT;74209;74209;www.shephotographyuk.com
Ranch Studio Scotland;EH6 5ND;74209;74209;www.ranchstudioscotland.com
Ishot Images;EH30 9UE;74209;74209;www.ishotimages.com
The Scottish Photography Experience;EH26 0RD;74209;"74209
79909";www.jameschristiephotography.com
Geebz Photography;EH6 7EL;74209;74209;www.geebz.co.uk
Claire Watson Photography;EH6 6BZ;74209;74209;www.clairewatson.co.uk
Morningside Photos;EH10 4PU;74209;74209;www.morningsidephotography.co.uk
Anna Henly Photography;EH10 7EB;74209;74209;
Altered Images Scotland;EH6 7AE;74209;74209;
Vartour;EH32 9GA;74209;74209;
EASTERN PHOTOCOLOUR LIMITED;EH21 6QA;74209;74209;www.eastern-info.co.uk
