Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
SIBBALD DIGITAL LTD;TD1 3AF;73110;73110
Moran Creatives;EH38 5YB;70229;73110
PROMOTIF LIMITED;TD5 7HT;73110;73110
LINDA GRAY LTD.;EH46 7HA;70229;73110
REFORM STUDIOS LTD;TD9 8RU;73110;73110
BS&P CONSULTING LTD;TD11 3LJ;73110;73110
TANGIBLE ID LIMITED;TD1 3DR;71121,7311, 74100;31090
WOODIFIELD MEDIA LTD;EH46 7AB;73120;73120
EVENTIT EXHIBITIONS LIMITED;TD1 1BT;73120;73120
EVENTSBASE LIMITED;TD1 1BT;73120;73120
JIM CLARK LEGACY LTD;TD11 3LJ;73120;73110
EURUS DG LTD;EH45 9ET;73110;47910
DASH MARKETING LTD;TD10 6YR;73120;73110
TELLTALE MARKETING SERVICES LTD;TD7 5EH;73110;73110
STATE OF MIND SPORT & CULTURE LTD;TD14 5NH;73120;73120
BESTSLOTOFFERS LTD;TD14 5BF;73110;73110
FORTEAN LTD;TD1 3ST;73120;73120
