Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
BORDERS BOOK FESTIVAL;TD6 9LJ;90030;90030
SCOTDB LIMITED;TD1 2SL;62012, 62020, 85590;58141
THE STUDIO ON THE GREEN;TD7 5AA;90020, 90040;90030
INFOSTREAM MEDIA AND PUBLISHING LIMITED;TD12 4EA;58190;58110
I D Bureau Services;TD1 1QD;28950;58190
Robert Smails Printing Works - National Trust Scotland;EH44 6HA;18129;91030
Hunter Art & Tile Studio;TD8 6UQ;90030;23310
Richardson & Son Printers;TD9 9JA;18129;18129
Christopher Hall Sculptures;TD8 6PA;43999;90030
Elmbank Print;EH45 8HU;82990;58190
Graham Riddell Photography;EH44 6QQ;90030;74209
The Crafty Club;TD8 6JS;90030;90030
Bester Signs & Printing;EH45 8AW;31010;18129
Faces 4 U;TD12 4RB;90030;90030
Cornucopia;;58110;58110
Abracadabra Magic;TD9 9NF;90030;90030
Fahrenheit Function Band;TD1 3RX;90030;90030
Border Telegraph;TD1 3AA;58110;58130
Portrait Drawings by Elsa;EH45 9HT;90030;90030
Inchorus Choir;EH45 9BU;90030;90030
David Shepherd Sign & Print;TD12 4DN;18129;82990
Hotdisc;;90030;90030
Margaret Knight;TD7 5LZ;90030;90030
Hotglass;TD11 3HS;90030;90030
Hawick Scout Pipe Band;TD9 9LF;90030;90030
East Lothian Messenger;TD13 5YS;58130;88990
Selkirk Silver Band;TD7 4LH;90030;90030
The Cryer Magazine;TD6 9HB;58130;58130
SCOTT & PATERSON LIMITED;TD9 9BZ;18130;18129
BORDERSPRINT LIMITED;TD7 4DG;58190;58190
S.P.C. BORDERS;TD1 3AF;58190;58190
NORTHLIGHT PRODUCTIONS LIMITED;TD9 8RU;58110, 59112, 59113;59111
CROSS COUNTRY THEATRE COMPANY LIMITED;TD6 0BP;90030;90030
THE PAPER CHAIN (SCOTLAND) LTD.;TD1 3BZ;18129;18129
QUEENE AND BELLE LIMITED;TD9 8QX;90030;90030
BORDEREVENTS.COM LIMITED;TD7 5AL;58142;58142
FANTASY PRINTS LIMITED;TD11 3AL;90030;90030
GATH PUBLISHING LIMITED;TD5 7AL;58110;58110
MARCHWINDS LIMITED;TD9 9JA;18129;18129
PEEBLES LIFE LTD.;EH45 9LG;18129;18129
COUNTRY CARDS UK LIMITED;TD9 9BD;18129;18129
LEMON DIGITAL DESIGN LIMITED;EH45 9BU;18129;18129
CYCLE GUIDES LIMITED;TD8 6TS;58190;58190
CORE 3 PARTNERS LIMITED;TD9 9BD;18129;18129
GALA LIFE LIMITED;EH45 9BS;58190;58190
BEYOND BORDERS PRODUCTIONS LIMITED;EH44 6PW;90010, 90020;90030
COVELL PUBLISHING LTD;TD7 5DZ;58190;58190
EILDON CONSULTING LTD;TD6 9HH;85600;58190
KELSO LIFE LIMITED;TD5 7AL;58190;58190
TERRAS SMALL BUSINESS SERVICES LIMITED;TD7 4LX;90030;78300
MARTINS PUBLISHING SERVICES LIMITED;TD5 7AL;58190;58190
MODJOOL LIMITED;TD1 2SU;90030;90030
OCTOPHIE LIMITED;EH45 9JL;90030;90030
CONNECTED KIDS LIMITED;EH44 6RB;58290, 85590;58110
KERR RODGIE LIMITED;TD6 0EW;90030;90030
TOUN CRYER FRANCHISING LTD;TD7 4BZ;58190;58190
BEASTIE ASSEMBLAGE LTD;TD9 8TL;90030;90030
DARREN WOODHEAD LIMITED;EH45 8AT;90030;90030
ID CONSULTANCY SOLUTIONS LIMITED;TD2 6TL;86900, 90030;70229
THE HAWICK PAPER LTD;TD9 8NQ;18110;18110
CARE 2 CREATE LIMITED;TD1 1BT;90030;90030
ARANUI LTD;EH46 7AA;90030;71122
SOLO GALLERY LIMITED;TD1 1RQ;90030;90030
FINRIN FUNDING LTD;TD1 3DE;58190;58190
FRIPPY JAMESON SCULPTURE LTD;TD10 6UW;90030;90030
YAOKI MEDIA LTD;EH44 6JJ;58190;58190
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
