Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
SIBBALD DIGITAL LTD;TD1 3AF;62020;73110
ALEX MORDUE IT SERVICES LTD;TD2 6SS;62020;62012
SCOTDB LIMITED;TD1 2SL;62012, 62020, 85590;58141
COMPASS REPORTS LTD;TD9 0RD;62012;62012
RED COLLAR CONSULTING LIMITED;TD2 6AB;62020;62020
SHARPE CONTRACTING LIMITED;TD12 4QS;62012;62012
Proprint;;47910;62020
Brotherston Computing Solutions;;95110;62020
Keynect;;62020;62020
VIEWBANK SOFTWARE LIMITED;TD6 9QT;62020;62020
AS-AD SOFTWARE LIMITED;EH45 8AT;62020;62020
C S CONSULTANTS (SCOTLAND) LIMITED;EH45 8AT;62020;62012
VINCENT MAYO ASSOCIATES LIMITED;TD14 5BU;70221, 82110;62020
VOUCH SAFE LTD.;TD7 5NE;62020;62020
INFORMATION BROWSER LIMITED;EH46 7HY;72200;62012
TAPDROP LIMITED;TD1 2BA;62020;62020
REACT2 LTD;EH45 8LS;62012;62012
NORTHCOM SUPPORT LIMITED;TD5 7AL;62020;62020
ACX SOFTWARE LIMITED;EH46 7HE;62020;62020
IQX LIMITED;TD6 9JT;62012;62012
CALLIPI SMITH LIMITED;TD1 3TE;62020;62020
SCSUPPORT LIMITED;TD6 9QR;79909;62020
EBS EUROPE LIMITED;EH45 9BU;62012, 62030;62020
INSPIRED BY TECHNOLOGY LIMITED;TD14 5HE;62090, 62030;62020
WALKER TECHNOLOGY SOLUTIONS LIMITED;EH46 7BY;62020;62020
H C R S LIMITED;EH46 7AX;62020;62020
CALACOM LIMITED;TD7 4JW;62020;62020
CODEMOVE LIMITED;EH45 8AT;55900;62020
CSP CONSULTING LIMITED;EH46 7JE;62012;62020
TUIG CONSULTING LTD.;EH45 8AT;62020;62020
JOINT IDEAS LTD.;EH46 7AL;63990;62020
PROPENSITY LIMITED;TD11 3QJ;62020;55900
ORWELL SECURITY LIMITED;TD11 3ER;62020;62020
