Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
ESCAPE YOUTH SERVICES;TD9 7BB;85520, 85590;85510
SATURDAY POLISH SCHOOL HAWICK C.I.C.;TD9 9BD;85520;85520
RHET SCOTTISH BORDERS COUNTRYSIDE INITIATIVE;TD3 6JY;85520;85520
CORNHILL COMMUNITY ACTION LTD;TD12 4UH;96040;85520
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
