Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
FERRIS ARCHITECTS LIMITED;TD1 1PX;71111;71111
Aitken Turnbull Architects;TD1 1SN;71111;71111
Keith Renton Architect;TD10 6UW;71111;71111
Robin Kent Architecture & Conservation;TD11 3AS;71111;71111
Sally Ruel Architect;EH38 5YE;71111;71111
D & H Farmer Chartered Architects;EH45 8HU;71111;71111
Colin Gilmore Architecture;TD6 9JD;71111;71111
A McGill Architectural Services;TD1 3EY;71111;71111
David Jane Architects;EH44 6HA;71111;71111
Hunter Architecture;TD1 2RE;71111;71111
Andrew Walker;TD14 5TA;71111;71111
Mac Brown;TD6 9LW;71111;71111
C B 3 Design Architects;EH45 8SW;71111;71111
K S Thomson Joiner;TD1 1HR;71111;71111
CAMERONS LIMITED;TD1 1QJ;74909;71111
NOVO DESIGN STUDIOS LTD;EH45 9HL;71111;71111
QUERCUS LIMITED;EH38 5YE;71111;41202
AITKEN TURNBULL ARCHITECTS LIMITED;TD1 1SN;71111;71111
ANDREW ISHERWOOD LTD;EH45 8LY;71111;71111
ROBIN KENT LIMITED;TD11 3AS;71111;71111
BORDERCAD LIMITED;TD1 3ES;71111;71111
BORDER ARCHITECTS LTD;EH45 8SW;71111;71111
BURNS + WANN LTD;TD12 4DE;71111, 71122;41202
CLARENDON PLANNING & DEVELOPMENT LIMITED;TD8 6NS;71112;71112
ROSS ARCHITECTURAL LTD;TD12 4BJ;71111;71111
LOW CARBON STUDIO LIMITED;TD7 5DZ;71111;71111
STUART DAVIDSON ARCHITECTURE LIMITED;TD7 4DD;71111;71111
MJC SURVEYORS LTD;EH45 8DD;71112;71112
IRD DESIGN LTD;TD14 5SD;71111;71111
R M ARCHITECTURE LTD;TD7 5AL;71111;71111
YUILL COMMUNITY TRUST C.I.C.;TD1 1QJ;41100;71111
DEREK J ANDERSON QUANTITY SURVEYING SERVICES LTD;TD4 6EF;71111;71111
OUTLAND ARCHITECTS LTD;TD7 5LZ;71111;71111
SKY-PIN DRONES LTD;TD6 9AQ;71112,74202,74209;63110
AIDAN HUME DESIGN SERVICES LTD;TD1 1LW;71111;71111
MOYLE LAND AND DEVELOPMENT (MLD) LTD;TD1 1NU;71112;71112
FERGUSON PLANNING LTD;TD1 1NU;71112;71112
WILDERHAUGH001 LIMITED;TD1 1QJ;71111;71111
ALAN MILLER CONSTRUCTION CONSULTANTS LTD;TD4 6AF;71111, 74909;43999
KOMANI GARDENS LTD;EH385YE;74901;71112
SWENSON STONE UK LTD;TD11 3HX;71111;71111
SPEAR RENOVATIONS LTD;TD13 5XD;71111;41202
CASTLESIDE FARM LTD;TD7 4PF;71111;71111
