Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
BORDERS BOOK FESTIVAL;TD6 9LJ;90030;90030
THE STUDIO ON THE GREEN;TD7 5AA;90020, 90040;90030
Hunter Art & Tile Studio;TD8 6UQ;90030;23310
Christopher Hall Sculptures;TD8 6PA;43999;90030
Graham Riddell Photography;EH44 6QQ;90030;74209
The Crafty Club;TD8 6JS;90030;90030
Faces 4 U;TD12 4RB;90030;90030
Abracadabra Magic;TD9 9NF;90030;90030
Fahrenheit Function Band;TD1 3RX;90030;90030
Portrait Drawings by Elsa;EH45 9HT;90030;90030
Inchorus Choir;EH45 9BU;90030;90030
Hotdisc;TD1 2QG;90030;90030
Margaret Knight;TD7 5LZ;90030;90030
Hotglass;TD11 3HS;90030;90030
Hawick Scout Pipe Band;TD9 9LF;90030;90030
Selkirk Silver Band;TD7 4LH;90030;90030
CROSS COUNTRY THEATRE COMPANY LIMITED;TD6 0BP;90030;90030
QUEENE AND BELLE LIMITED;TD9 8QX;90030;90030
FANTASY PRINTS LIMITED;TD11 3AL;90030;90030
BUY DESIGN GALLERY LIMITED;TD5 8QL;47781;47781
BEYOND BORDERS PRODUCTIONS LIMITED;EH44 6PW;90010, 90020;90030
TERRAS SMALL BUSINESS SERVICES LIMITED;TD7 4LX;78300, 90030;78300
MODJOOL LIMITED;TD1 2SU;90030;90030
OCTOPHIE LIMITED;EH45 9JL;90030;90030
RODGIE GALLERY & PRINT LIMITED;TD6 0EW;47781;47781
KERR RODGIE LIMITED;TD6 0EW;90030;90030
BEASTIE ASSEMBLAGE LTD;TD9 8TL;90030;90030
DARREN WOODHEAD LIMITED;EH45 8AT;90030;90030
ID CONSULTANCY SOLUTIONS LIMITED;TD2 6TL;86900, 90030;70229
CARE 2 CREATE LIMITED;TD1 1BT;90030;90030
SELLMYART LIMITED;EH45 9BU;47781;47781
ARANUI LTD;EH46 7AA;90030;71122
SOLO GALLERY LIMITED;TD1 1RQ;90030;90030
FRIPPY JAMESON SCULPTURE LTD;TD10 6UW;90030;90030
