Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
Abbey Ceramics;TD12 4LW;23490;23490
Dunnydeer Studio;EH45 8AL;23490;23490
Keepsakes;;47791;47910
Kelso Pottery;TD5 7BH;23490;23490
Michael Vee Design;TD6 9PB;47791;43999
Scottish Borders Art Glass;TD9 8PZ;23190;23190
Woodworks;EH45 8AL;96090;16290
Arian;TD1 3AD;47791;47770
Joanna Thomson Jewellery;EH45 8BW;32120;32120
Kinsman-blake Gallery;TD5 7PH;90040;23490
J B Treasures;TD12 4BH;96090;32120
Decorative Door Products;TD9 8SL;23190;43342
Denholm Antiques & Interiors;TD9 8LZ;47599;47791
Northgate Interiors;EH45 8BZ;95240;47599
The Wood Neuk;TD1 2PR;31090;31090
Artizan;TD6 9PL;32120;47770
Decoghetto;TD5 7JR;95240;95240
NEWFORTH LIMITED;TD9 7EJ;47799, 85590;47791
LINDEAN MILL GLASS LIMITED;TD1 3PE;23130;23130
DUNCAN C HOOD LIMITED;EH45 9DJ;32120;32120
APOSTROPHE WOODCRAFT LIMITED;TD8 6EE;31090, 43320;31020
ERIC PRENTICE JOINERY LIMITED;TD7 4EA;16290;16290
REAL WOOD STUDIOS C.I.C.;TD8 6TU;31090;16290
ST BOSWELLS FUELS LIMITED;TD6 0HH;16290;16290
ROBERTSON TIMBER LIMITED;TD6 0HH;16290;16100
PHILIP HITCHCOCK FURNITURE LTD;TD7 4QD;31090;31090
CALEDONIA LOG HOMES LIMITED;TD9 8LG;31090;31090
MARLIN INDUSTRIES SCOTLAND LIMITED;TD9 8RW;16290;16290
TANGIBLE ID LIMITED;TD1 3DR;71121, 73110, 74100;31090
THE WOOD NEUK LIMITED;EH45 9NB;31090;31090
CHRYSTIES FURNISHING CENTRE LTD;TD9 7AH;95240;95240
ROC WORKSHOPS LTD;EH46 7BH;31090;31090
HKD SOLUTIONS LTD;EH45 9BU;31090;31090
VAULT OF CURIOSITIES LIMITED;TD1 1BT;47791;47791
ATR SAWMILL LIMITED;TD12 4LX;16240, 16290;16100
BROWN AND TURNER LTD;TD9 8JE;47791;47791
REL BESPOKE LTD;TD9 9UQ;31090;25990
STIRLING DESIGN LTD;EH45 9LF;31090;31090
THE HANDMADE TABLE COMPANY LTD;TD11 3US;47990;31090
JJRB BUILDING CONTRACTORS LIMITED;TD1 3EF;31090;31090
BIRCHTREE COTTAGE LTD;TD9 0TQ;16290;16290
MB FINE ANTIQUES LIMITED;TD1 1BT;47791;47791
THE EDINBURGH TABLE COMPANY LTD;TD1 3RS;31090;31090
THE MARCHMONT WORKSHOP LIMITED;TD10 6YL;31090;31090
RESAN FURNITURE LTD;TD6 0QT;31010, 31020, 31090;16100
