Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
LOCHCARRON JOHN BUCHAN LIMITED;TD7 5DX;13200, 47510;46410
SCOTT & CHARTERS (HAWICK) LIMITED;TD9 8HU;13910;13910
THE BORDER MILL LIMITED;TD11 3DJ;13100;13100
Selkirk Weaving Company;TD7 5EQ;13923;13923
House of Cheviot;TD9 8PZ ;14390;14390
Johnstons of Elgin;TD9 8AA;13300;13923
The Needle Point;TD7 4DG;46420;14132
Brown & Out;EH45 9ED;13300;13300
The Osprey Company;TD12 4EE;13923;47190
Lynn Tindale Designer Jewellery;EH45 8AL;47770;74100
Cozyknits;TD9 8SZ;14390;14390
Gleann Righ;TD1 3BF;13910;13910
Cuero;TD8 6UG;15120;15120
Hawick Knitwear;TD9 8SL;13100;13100
G W Agencies;TD9 9EH;14390;13923
Flight Woven Textile Designs;TD11 3JQ;13300;13300
Pirn House Interiors;TD6 0HH;47599;13923
Ticketty Boo;TD12 4LW;47799;13300
Squiddly Bean Luxury Aran Knitwear;TD1 1RE;14390;14390
The Border Mill;TD11 3HS;13923;13923
Ettrick Valley;TD7 5JL;13300;13300
Willliam Lockie Store;TD9 0AW;13910;13910
Cope;;14110;14110
Max Yarns Embroidery;TD7 5EA;13300;13300
Replin by Hainsworth;EH45 9BU;13300;13300
Roam;TD1 3HP;14390;14390
Rudi & Co;EH44 6PW;13300;13300
D.C. DALGLIESH LIMITED;TD7 5EB;13200;13200
A. ELLIOT (FINE FABRICS) LIMITED;TD7 5EA;13200;13200
LOVAT MILL LIMITED;TD9 7AQ;13200;13200
GLENEVAN MILL LIMITED;EH44 6PD;46170;14390
AERO LEATHER CLOTHING LTD.;TD1 3AY;14131, 14132;14110
THE HAWICK CASHMERE COMPANY LIMITED;TD9 9QA;47710;13910
INCORPORATED BLIND SYSTEMS LIMITED;EH45 8AT;13921;13921
A.L.P.S. ENGINEERING COMPANY LIMITED;EH45 8JE;71122, 72190, 74100;33120
KEZIE LEATHER LIMITED;TD11 3TT;15110;15110
SHORT'S OF HAWICK LIMITED;TD9 7DP;13910;13910
SALTIRE SPORTS LIMITED;TD8 6LD;13990;13990
ETTRICK YARN DYERS LIMITED;TD7 5EF;13300;13300
ARKAY CLOTHING LIMITED;TD1 2UH;14190;14190
INTRASYS DESIGN LIMITED;TD6 0SG;74100;74100
GREENWEAVER LIMITED;TD1 2RQ;74100;74100
ROXBURGHE HANDKNITS LIMITED;TD9 9JA;13990;13990
CUSTOM AND CONTRACT POWER SOLUTIONS LIMITED;TD1 3LP;74100;74100
THE HAWICK SCARF COMPANY LIMITED;TD9 8SL;14310;14310
JAGGY NETTLE LTD;TD2 6TE;14190;14190
COHORTS BY DESIGN LIMITED;TD1 3ES;74100;74100
HAWICK CASHMERE RETAIL LIMITED;TD9 9QA;47710;14310
VALUE ENGINEERING AND CONSTRUCTION LIMITED;TD3 6LN;74100;74100
CCA-SIGNS LTD;EH45 9BU;74100;74100
GLOBAL SPORTS INNOVATION LTD;TD1 2BA;74100;74100
GILBERT WILSON (HAWICK) LIMITED;TD9 9EP;13910;13910
WHITE CREATIVE (COMPANY) LIMITED;TD1 1TQ;74100;74100
ARKESTRA LTD;EH45 9BF;74100;96090
DUNMORE SCOTLAND LTD.;EH46 7HA;14190;14190
ERIBE KNITWEAR LIMITED;TD1 1NE;13910;13910
CHEASY LTD;TD9 9BD;74100;63120
NOBLE HEADWEAR LIMITED;TD1 1EX;14190;14190
TANGIBLE ID LIMITED;TD1 3DR;71121, 73110, 74100;31090
ABOUND DESIGN & INTERPRETATION LTD;EH45 9BS;74100;74100
SINCLAIR DUNCAN TEXTILES LIMITED;TD1 1BA;14190;14190
SEMPER PLUIT LTD;TD9 9BD;14190;13923
AF CLOTHING LIMITED;EH44 6HD;14132;14132
HORSE RUGS (UK) LTD;TD9 7LT;13990;13990
WONKY WOOLIES LTD;TD5 7BQ;14390;14390
L A REGENERATES LTD;TD9 9BD;74100;74100
SCOTTSDALE CASHMERE LIMITED;TD9 9BG;13910;13910
VIRTUAL REALITY EMPATHY PLATFORM LIMITED;TD1 1SN;74100;74100
APT CAVALIER LTD;TD1 3RZ;47640, 47710;14132
THE ORACLE CASHMERE LIMITED;TD5 7HW;14390;14390
TROLLTEK LTD;TD7 5DL;62090, 63110, 74100;62020
ILB ENGINEERING LIMITED;TD1 1EU;74100;74100
10T LTD;TD57SZ;14132, 15200;14131
NOCTURNALFREAKS LTD;TD9 9NW;13300;13300
BONCHESTER DESIGN LTD;TD9 8QX;74100;74100
KATY SCOTT DESIGN LIMITED;TD6 0SF;74100;74100
GREENFIELD STITCHERY LIMITED;EH46 7EN;47510, 70229;13921
ERIBE MANUFACTURING LTD;TD6 9QY;13921, 46410;13910
RAUS DESIGN LTD;TD6 9QF;74100;74100
SURFCO2 LTD;TD11 3TS;14190;14190
JUPITOUS LTD;TD1 2AE;74100;70229
SKR DIGITAL LIMITED;EH46 7BE;74100;74100
ARTISAN YARNS LTD;TD11 3RN;13990;13990
STUDIO LUCENT LTD;TD6 9RU;74100;74100
ANDY REEVES PROJECTS LTD;TD6 9SN;74100;74100
