Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
K Welters;TD9 0TB;71121;71121
Lynn Tindale Designer Jewellery;EH45 8AL;47770;74100
Triple B Graphics;TD5 7DN;71121;82990
Brand Satellite;TD6 9PW;70229;71121
A.L.P.S. ENGINEERING COMPANY LIMITED;EH45 8JE;71122, 72190, 74100;33120
INTRASYS DESIGN LIMITED;TD6 0SG;74100;74100
GREENWEAVER LIMITED;TD1 2RQ;74100;74100
CUSTOM AND CONTRACT POWER SOLUTIONS LIMITED;TD1 3LP;74100;74100
COHORTS BY DESIGN LIMITED;TD1 3ES;74100;74100
VALUE ENGINEERING AND CONSTRUCTION LIMITED;TD3 6LN;74100;74100
CCA-SIGNS LTD;EH45 9BU;74100;74100
GLOBAL SPORTS INNOVATION LTD;TD1 2BA;74100;74100
WHITE CREATIVE (COMPANY) LIMITED;TD1 1TQ;74100;74100
ARKESTRA LTD;EH45 9BF;74100;96090
CHEASY LTD;TD9 9BD;74100;63120
TANGIBLE ID LIMITED;TD1 3DR;71121, 73110, 74100;31090
ABOUND DESIGN & INTERPRETATION LTD;EH45 9BS;74100;74100
L A REGENERATES LTD;TD9 9BD;74100;74100
VIRTUAL REALITY EMPATHY PLATFORM LIMITED;TD1 1SN;74100;74100
ANDERSON ENGINEERING (DUNS) LIMITED;TD11 3BD;71121;71121
DM ENGINEERING SOLUTIONS LTD;TD6 9AL;71121;71121
RUNCIMAN ENGINEERING LIMITED;TD2 6RY;71122, 71129;71121
TROLLTEK LTD;TD7 5DL;62090, 63110, 74100;62020
ILB ENGINEERING LIMITED;TD1 1EU;74100;74100
BONCHESTER DESIGN LTD;TD9 8QX;74100;74100
KATY SCOTT DESIGN LIMITED;TD6 0SF;74100;74100
ASPITECH LIMITED;EH46 7BE;71121;71121
RAUS DESIGN LTD;TD6 9QF;74100;74100
JUPITOUS LTD;TD1 2AE;74100;70229
SKR DIGITAL LIMITED;EH46 7BE;74100;74100
STUDIO LUCENT LTD;TD6 9RU;74100;74100
ANDY REEVES PROJECTS LTD;TD6 9SN;74100;74100

