Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
EASTGATE THEATRE (PEEBLES) LIMITED;EH45 8AD;90040;90040
EAST NEUK FESTIVAL;TD6 0BD;90010;90010
NOMAD BEAT LTD.;EH45 9BU;90040;90040
DUNCAN MACKINNON MUSIC AND ARTS TRUST LIMITED;TD1 1SP;90040;90040
ASYLON THEATRE;TD1 2BB;90010;90010
THE STUDIO ON THE GREEN;TD7 5AA;90020, 90040;90030
2247 LTD.;TD12 4XN;90020;90020
Coldstream Museum;TD12 4BD;90040;90040
Flat Cat Gallery;TD2 6SR;90040;90040
Live Borders Museums & Galleries Hq;TD1 2DU;90040;82990
Oisin;TD8 6AG;32990;90040
Old Gala House;TD1 3JS;55100;90040
Sound Station Recording;TD1 1SE;90040;90040
Mac Arts;TD1 1SP;88990;90040
Teviot Gallery;TD9 9QT;32990;90040
Tweeddale Museum & Gallery;EH45 8AG;90040;90040
New Palace Theatre Organ Heritage Centre;TD10 6XD;93290;90040
Th8 Gallery;TD5 7JD;90040;90040
Breeze;EH45 8SW;90040;90040
Coldstream Gallery;TD12 4DL;90040;90040
Breeze;;90040;90040
Kinsman-blake Gallery;TD5 7PH;90040;23490
Number Four Gallery;TD14 5QF;90040;90040
The Dancing Light Gallery;EH46 7BB;90040;90040
Scotland on Canvas;TD11 3JZ;90040;90040
Chirnside Gallery;TD11 3YA;32990;90040
The Gallery Melrose;TD6 9PL;47190;90040
Lovatt Gallery;TD8 6DQ;90040;90040
T H H Gallery;TD11 3NS;90040;90040
TRAQUAIR EVENTS LIMITED;EH44 6PW;90020;90020
TETRA ACOUSTICS LIMITED;EH45 8BD;90020;90020
BEYOND BORDERS PRODUCTIONS LIMITED;EH44 6PW;90010, 90020;90030
THE MERLIN ACADEMY OF TRADITIONAL MUSIC LTD.;TD6 9PS;90020;90020
NEW STRIDES THEATRE;TD14 5NP;90010;90010
DYNAMIC CHOIRS LTD;EH45 9HF;90010;90010
HIPPODROME ARTS CIC;TD14 5HT;90040;90040
TWEED ART LTD;EH45 8HS;90040;90040
BRIGHT SPARK PARTNERS LTD;TD6 9NH;90020;70229
D F SOUND LIMITED;EH46 7JL;90020;90020
MERLIN MUSIC LIMITED;TD6 9PR;90020;90020
OVER THE LYNE COMEDY LIMITED;EH46 7EN;90010;90010
BORDER ARTS DEVELOPMENT C.I.C.;TD8 6TP;90040;90040
SPOOKY TOUCAN LTD;EH45 8QP;90010;90010
OUT THERE PROJECTS LTD;TD2 6TX;90010;90010
HATCHET LTD;TD11 3JY;90010;90010
FIREFLY CASTING LTD;TD1 1UF;78101, 78200;74201
EMPOWER GIRL GROUP LTD;TD1 3TE;90010;90010
PHAT CAT EVENTS LTD;TD1 3SX;90010;90010
