Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
THE NIFTY HARP PROJECT C.I.C.;EH45 8NU;32200;32200
WYSE MEDIA (UK) LTD;TD8 6JF;59200;59200
Aeolian Piano Tuning;TD1 2ND;32200;32200
Mark Norris Harps;EH45 8NU;32200;32200
Piano Doctor;EH38 5YE;32200;32200
SCOCHA RECORDINGS LIMITED;TD9 9EX;59200;59200
BRIGSIDE MUSIC PUBLISHING LTD.;TD7 4BZ;59200;59200
MURRAYFIELD MUSIC LTD;TD1 2AE;59200;59200
MICHAEL L PENMAN LIMITED;TD9 9LX;59200;59200
PRECISE MASTERING LTD;TD9 9JJ;59200;59200
JMP3 LIMITED;TD1 1BT;59200;59200
CLOUDSCAPES MUSIC PRESS LIMITED;TD12 4NT;59200;59200
1681 NORTH BROAD ST RECORDS LIMITED;TD14 5NH;59200;59200
QUANTUM PHLOPP LTD;EH46 7AA;59200;59200
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
